model,bloc,n,yes,yes_rate,ci_lo,ci_hi
chatgpt-4o,BRICS,75,51.0,0.68,0.5678872410148672,0.7745715624594409
chatgpt-4o,EU,405,190.0,0.4691358024691358,0.42105010284647104,0.5178015208630535
chatgpt-4o,FiveEyes,75,35.0,0.4666666666666667,0.35815509458811656,0.5784266084721967
chatgpt-4o,GCC,90,61.0,0.6777777777777778,0.5756664407220551,0.7653337127280141
chatgpt-4o,Other,3090,1773.0,0.5737864077669903,0.556268623113432,0.5911209523580466
claude-sonnet-4,BRICS,75,50.0,0.6666666666666666,0.5541721417516369,0.7629193429467964
claude-sonnet-4,EU,405,189.0,0.4666666666666667,0.4186194199578866,0.5153403336484
claude-sonnet-4,FiveEyes,75,36.0,0.48,0.37068921756788065,0.5912598042683074
claude-sonnet-4,GCC,90,57.0,0.6333333333333333,0.530221128924694,0.7255289861628578
claude-sonnet-4,Other,3090,1803.0,0.583495145631068,0.5660197261305875,0.6007632145345067
gemini2.5,BRICS,75,67.0,0.8933333333333333,0.8033843735268642,0.9449515303614383
gemini2.5,EU,400,307.0,0.7675,0.7236764828773743,0.8062342544017964
gemini2.5,FiveEyes,74,55.0,0.7432432432432432,0.6334534054035083,0.8290242415102241
gemini2.5,GCC,90,89.0,0.9888888888888889,0.9397144555232021,0.9980359664644874
gemini2.5,Other,3048,2585.0,0.8480971128608924,0.8349169282291311,0.8604009414794408
llama3.3,BRICS,75,33.0,0.44,0.3333127597678485,0.5525343057407155
llama3.3,EU,405,150.0,0.37037037037037035,0.32476250195297673,0.4184143176270268
llama3.3,FiveEyes,75,29.0,0.38666666666666666,0.28455047772633973,0.4998273126787256
llama3.3,GCC,90,42.0,0.4666666666666667,0.3670825183252626,0.5689799529028494
llama3.3,Other,3090,1162.0,0.37605177993527505,0.35913610741225477,0.3932752636159193
qwen2.5,BRICS,75,48.0,0.64,0.5270045111400723,0.7393523360066118
qwen2.5,EU,405,194.0,0.47901234567901235,0.4307845996652676,0.5276345044572093
qwen2.5,FiveEyes,75,38.0,0.5066666666666667,0.39598184412213266,0.6167018152658048
qwen2.5,GCC,90,54.0,0.6,0.4967011780834921,0.6951114082321717
qwen2.5,Other,3090,1640.0,0.5307443365695793,0.5131206298875443,0.5482916932255718
