model,iso3,country_name,delta_mean,n_projects
chatgpt-4o,SWZ,Eswatini,0.0,15
chatgpt-4o,SVN,Slovenia,0.0,15
chatgpt-4o,REU,Réunion,0.0,15
chatgpt-4o,PYF,French Polynesia,0.0,15
chatgpt-4o,ROU,Romania,0.0,15
chatgpt-4o,SVK,Slovakia,0.0,15
chatgpt-4o,STP,Sao Tome and Principe,0.0,15
chatgpt-4o,SMR,San Marino,0.0,15
chatgpt-4o,SHN,"Saint Helena, Ascension and Tristan da Cunha",0.0,15
chatgpt-4o,SJM,Svalbard and Jan Mayen,0.0,15
claude-sonnet-4,CPV,Cabo Verde,0.0,15
claude-sonnet-4,CUW,Curaçao,0.0,15
claude-sonnet-4,IMN,Isle of Man,0.0,15
claude-sonnet-4,FRO,Faroe Islands,0.0,15
claude-sonnet-4,GBR,United Kingdom,0.0,15
claude-sonnet-4,MWI,Malawi,0.0,15
claude-sonnet-4,NZL,New Zealand,0.0,15
claude-sonnet-4,SHN,"Saint Helena, Ascension and Tristan da Cunha",0.0,15
claude-sonnet-4,TZA,"Tanzania, United Republic of",0.0,15
claude-sonnet-4,TTO,Trinidad and Tobago,0.0,15
gemini2.5,AUT,Austria,-0.0714285714285714,14
gemini2.5,VIR,"Virgin Islands, U.S.",-0.0714285714285714,14
gemini2.5,CCK,Cocos (Keeling) Islands,-0.1333333333333333,15
gemini2.5,KIR,Kiribati,-0.1333333333333333,15
gemini2.5,DEU,Germany,-0.1333333333333333,15
gemini2.5,BRB,Barbados,-0.1333333333333333,15
gemini2.5,LUX,Luxembourg,-0.1333333333333333,15
gemini2.5,BEL,Belgium,-0.1333333333333333,15
gemini2.5,SPM,Saint Pierre and Miquelon,-0.1333333333333333,15
gemini2.5,FRA,France,-0.1428571428571428,14
llama3.3,SJM,Svalbard and Jan Mayen,-0.1333333333333333,15
llama3.3,SLE,Sierra Leone,-0.1333333333333333,15
llama3.3,TUN,Tunisia,-0.1333333333333333,15
llama3.3,TUV,Tuvalu,-0.1333333333333333,15
llama3.3,TON,Tonga,-0.1333333333333333,15
llama3.3,URY,Uruguay,-0.1333333333333333,15
llama3.3,VCT,Saint Vincent and the Grenadines,-0.1333333333333333,15
llama3.3,WLF,Wallis and Futuna,-0.1333333333333333,15
llama3.3,WSM,Samoa,-0.1333333333333333,15
llama3.3,ZMB,Zambia,-0.1333333333333333,15
qwen2.5,MSR,Montserrat,-0.0666666666666666,15
qwen2.5,NAM,Namibia,-0.0666666666666666,15
qwen2.5,RWA,Rwanda,-0.0666666666666666,15
qwen2.5,PCN,Pitcairn,-0.0666666666666666,15
qwen2.5,NLD,Netherlands,-0.0666666666666666,15
qwen2.5,SVN,Slovenia,-0.0666666666666666,15
qwen2.5,SHN,"Saint Helena, Ascension and Tristan da Cunha",-0.0666666666666666,15
qwen2.5,SUR,Suriname,-0.0666666666666666,15
qwen2.5,SJM,Svalbard and Jan Mayen,-0.0666666666666666,15
qwen2.5,MYT,Mayotte,-0.1333333333333333,15
