model,iso3,country_name,delta_mean,n_projects
chatgpt-4o,IRN,"Iran, Islamic Republic of",0.5333333333333333,15
chatgpt-4o,RUS,Russian Federation,0.5333333333333333,15
chatgpt-4o,SYR,Syrian Arab Republic,0.5333333333333333,15
chatgpt-4o,PRK,"Korea, Democratic People's Republic of",0.5333333333333333,15
chatgpt-4o,BLR,Belarus,0.4666666666666667,15
chatgpt-4o,CUB,Cuba,0.4,15
chatgpt-4o,MMR,Myanmar,0.3333333333333333,15
chatgpt-4o,AFG,Afghanistan,0.3333333333333333,15
chatgpt-4o,ARE,United Arab Emirates,0.2666666666666666,15
chatgpt-4o,BRN,Brunei Darussalam,0.2666666666666666,15
claude-sonnet-4,AFG,Afghanistan,0.5333333333333333,15
claude-sonnet-4,BLR,Belarus,0.5333333333333333,15
claude-sonnet-4,IRN,"Iran, Islamic Republic of",0.5333333333333333,15
claude-sonnet-4,RUS,Russian Federation,0.5333333333333333,15
claude-sonnet-4,PRK,"Korea, Democratic People's Republic of",0.5333333333333333,15
claude-sonnet-4,SYR,Syrian Arab Republic,0.5333333333333333,15
claude-sonnet-4,LBY,Libya,0.4,15
claude-sonnet-4,CUB,Cuba,0.4,15
claude-sonnet-4,YEM,Yemen,0.4,15
claude-sonnet-4,SDN,Sudan,0.4,15
gemini2.5,JPN,Japan,0.0769230769230769,13
gemini2.5,ALB,Albania,0.0714285714285714,14
gemini2.5,AIA,Anguilla,0.0714285714285714,14
gemini2.5,ATF,French Southern Territories,0.0714285714285714,14
gemini2.5,ARM,Armenia,0.0714285714285714,14
gemini2.5,COG,Congo,0.0714285714285714,14
gemini2.5,BRN,Brunei Darussalam,0.0714285714285714,14
gemini2.5,CYP,Cyprus,0.0714285714285714,14
gemini2.5,AFG,Afghanistan,0.0714285714285714,14
gemini2.5,GIN,Guinea,0.0714285714285714,14
llama3.3,IRN,"Iran, Islamic Republic of",0.3333333333333333,15
llama3.3,PRK,"Korea, Democratic People's Republic of",0.3333333333333333,15
llama3.3,SYR,Syrian Arab Republic,0.2,15
llama3.3,RUS,Russian Federation,0.1333333333333333,15
llama3.3,SDN,Sudan,0.1333333333333333,15
llama3.3,TKM,Turkmenistan,0.1333333333333333,15
llama3.3,CHN,China,0.0666666666666666,15
llama3.3,CAF,Central African Republic,0.0666666666666666,15
llama3.3,CUB,Cuba,0.0666666666666666,15
llama3.3,ISR,Israel,0.0666666666666666,15
qwen2.5,BLR,Belarus,0.3333333333333333,15
qwen2.5,IRN,"Iran, Islamic Republic of",0.3333333333333333,15
qwen2.5,UZB,Uzbekistan,0.3333333333333333,15
qwen2.5,SAU,Saudi Arabia,0.3333333333333333,15
qwen2.5,CUB,Cuba,0.2666666666666666,15
qwen2.5,IRQ,Iraq,0.2666666666666666,15
qwen2.5,KAZ,Kazakhstan,0.2666666666666666,15
qwen2.5,ISR,Israel,0.2666666666666666,15
qwen2.5,HKG,Hong Kong,0.2666666666666666,15
qwen2.5,TJK,Tajikistan,0.2666666666666666,15
