model,iso3,country_name,n,flips,flip_rate
chatgpt-4o,TTO,Trinidad and Tobago,3,2,0.6666666666666666
chatgpt-4o,ALB,Albania,6,2,0.3333333333333333
chatgpt-4o,ATF,French Southern Territories,3,1,0.3333333333333333
chatgpt-4o,SLE,Sierra Leone,3,1,0.3333333333333333
chatgpt-4o,BRB,Barbados,7,2,0.2857142857142857
chatgpt-4o,CPV,Cabo Verde,4,1,0.25
chatgpt-4o,JPN,Japan,4,1,0.25
chatgpt-4o,TUN,Tunisia,4,1,0.25
chatgpt-4o,AFG,Afghanistan,5,1,0.2
chatgpt-4o,GIN,Guinea,5,1,0.2
chatgpt-4o,KIR,Kiribati,5,1,0.2
chatgpt-4o,MCO,Monaco,5,1,0.2
chatgpt-4o,RWA,Rwanda,5,1,0.2
chatgpt-4o,WLF,Wallis and Futuna,5,1,0.2
chatgpt-4o,BFA,Burkina Faso,6,1,0.16666666666666666
chatgpt-4o,MYT,Mayotte,6,1,0.16666666666666666
chatgpt-4o,NAM,Namibia,6,1,0.16666666666666666
chatgpt-4o,WSM,Samoa,6,1,0.16666666666666666
chatgpt-4o,LVA,Latvia,7,1,0.14285714285714285
chatgpt-4o,MEX,Mexico,7,1,0.14285714285714285
chatgpt-4o,---,(none),15,0,0.0
chatgpt-4o,ABW,Aruba,2,0,0.0
chatgpt-4o,AIA,Anguilla,6,0,0.0
chatgpt-4o,ARE,United Arab Emirates,5,0,0.0
chatgpt-4o,ARM,Armenia,4,0,0.0
chatgpt-4o,ASM,American Samoa,2,0,0.0
chatgpt-4o,AUS,Australia,8,0,0.0
chatgpt-4o,AUT,Austria,7,0,0.0
chatgpt-4o,BEL,Belgium,3,0,0.0
chatgpt-4o,BLR,Belarus,4,0,0.0
chatgpt-4o,BRN,Brunei Darussalam,6,0,0.0
chatgpt-4o,CAF,Central African Republic,4,0,0.0
chatgpt-4o,CAN,Canada,4,0,0.0
chatgpt-4o,CCK,Cocos (Keeling) Islands,3,0,0.0
chatgpt-4o,CHE,Switzerland,7,0,0.0
chatgpt-4o,CHN,China,4,0,0.0
chatgpt-4o,COG,Congo,2,0,0.0
