run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
9df927a8f49dd188,2025-10-06T15:35:18.819479+00:00,8,PYF,French Polynesia,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4541,YES,The project involves developing underwater surveillance,"YES
Rationale: The project involves developing underwater surveillance",,173,298,471
fbf5b19998c4c1e7,2025-10-06T15:35:19.356746+00:00,8,TUV,Tuvalu,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4099,YES,The project involves developing underwater surveillance networks,"YES
Rationale: The project involves developing underwater surveillance networks",,173,298,471
79fc61018a91c490,2025-10-06T15:35:19.546752+00:00,23,TJK,Tajikistan,baseline_plus_one,10,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4604,YES,The project involves collaboration with a public university,"YES
Rationale: The project involves collaboration with a public university",,806,298,1104
700118e67297364b,2025-10-06T15:35:20.242970+00:00,6,UGA,Uganda,baseline_plus_one,1,Other,Africa,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5648,YES,The project involves dynamic encryption and its,"YES
Rationale: The project involves dynamic encryption and its",,164,298,462
511bfd71b41a20d2,2025-10-06T15:35:23.780712+00:00,2,---,(none),baseline,5,(n/a),(n/a),gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4960,YES,"The project involves the development of ""","YES
Rationale: The project involves the development of """,,158,298,456
b68688a5d53dc73d,2025-10-06T15:35:24.075066+00:00,2,CCK,Cocos (Keeling) Islands,baseline_plus_one,5,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4694,YES,"The project involves telemetry and networking technologies,","YES
Rationale: The project involves telemetry and networking technologies,",,177,298,475
77b243221078842b,2025-10-06T15:35:24.434405+00:00,2,TTO,Trinidad and Tobago,baseline_plus_one,5,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4736,YES,The project involves the development of networking,"YES
Rationale: The project involves the development of networking",,173,298,471
f3d7b39a4423d2f9,2025-10-06T15:35:24.860944+00:00,24,---,(none),baseline,3,(n/a),(n/a),gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4607,YES,"The project involves research into ""information security","YES
Rationale: The project involves research into ""information security",,258,298,556
742d68951e901d32,2025-10-06T15:35:28.294630+00:00,25,PCN,Pitcairn,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4508,YES,The project focuses on the,"YES
Rationale: The project focuses on the",,755,298,1053
5725124f4c50a80b,2025-10-06T15:35:28.475253+00:00,26,PRT,Portugal,baseline_plus_one,3,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4359,YES,The project involves the development of,"YES
Rationale: The project involves the development of",,464,298,762
a4a7818dff92ba23,2025-10-06T15:35:29.047861+00:00,14,ITA,Italy,baseline_plus_one,3,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4170,NO,The project focuses on fundamental research for,"NO
Rationale: The project focuses on fundamental research for",,186,298,484
f42753f6b47fc9f9,2025-10-06T15:35:29.353921+00:00,34,SWE,Sweden,baseline_plus_one,0,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4883,YES,The project involves research and development of,"YES
Rationale: The project involves research and development of",,651,298,949
6065f7ca4dcd35fd,2025-10-06T15:35:32.738793+00:00,2,SWE,Sweden,baseline_plus_one,5,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4421,YES,"The project involves the development of ""tele","YES
Rationale: The project involves the development of ""tele",,171,298,469
6b12ca5b5ac2cc9d,2025-10-06T15:35:32.916184+00:00,14,REU,Réunion,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4273,YES,The project involves collaboration with ETH Zurich in,"YES
Rationale: The project involves collaboration with ETH Zurich in",,186,298,484
7b9a2061b2fd7ff6,2025-10-06T15:35:33.769000+00:00,26,GRC,Greece,baseline_plus_one,3,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4697,YES,The project involves the development of novel,"YES
Rationale: The project involves the development of novel",,464,298,762
273fbdab240903cb,2025-10-06T15:35:34.021405+00:00,6,NZL,New Zealand,baseline_plus_one,1,FiveEyes,Oceania,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4624,YES,"The project involves the development of ""","YES
Rationale: The project involves the development of """,,165,298,463
fc1ab1a4d27e38b2,2025-10-06T15:35:37.125172+00:00,14,LSO,Lesotho,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4382,YES,The project involves collaboration with ARM,"YES
Rationale: The project involves collaboration with ARM",,186,298,484
4863b6aeb2f8e7d7,2025-10-06T15:35:39.014436+00:00,7,ZAF,South Africa,baseline_plus_one,3,BRICS,Africa,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4910,YES,The project develops technology for critical national,"YES
Rationale: The project develops technology for critical national",,186,298,484
91a599a085d636be,2025-10-06T15:35:40.789883+00:00,7,WSM,Samoa,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,7702,YES,"The project involves developing ""technology"" for","YES
Rationale: The project involves developing ""technology"" for",,185,298,483
fa2e465cff3c5c9b,2025-10-06T15:35:42.336771+00:00,24,MYT,Mayotte,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5187,YES,The project involves the development and evaluation,"YES
Rationale: The project involves the development and evaluation",,272,298,570
282a0feb1908aba1,2025-10-06T15:35:43.827984+00:00,12,BRB,Barbados,baseline_plus_one,5,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4787,YES,The project involves a partner located,"YES
Rationale: The project involves a partner located",,187,298,485
c10cf19d7ed6c949,2025-10-06T15:35:45.729915+00:00,8,TJK,Tajikistan,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4923,YES,The project involves developing SONAR and underwater,"YES
Rationale: The project involves developing SONAR and underwater",,172,298,470
4483047f07c67596,2025-10-06T15:35:47.605859+00:00,34,CUW,Curaçao,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5254,YES,The project involves research into,"YES
Rationale: The project involves research into",,652,298,950
71e348c9a7611d23,2025-10-06T15:35:49.081457+00:00,1,SDN,Sudan,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5224,YES,The project involves the development and demonstration of,"YES
Rationale: The project involves the development and demonstration of",,415,298,713
e47113fe5b362700,2025-10-06T15:35:54.971991+00:00,34,VIR,"Virgin Islands, U.S.",baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5878,YES,The project involves research and development of,"YES
Rationale: The project involves research and development of",,656,298,954
0de648d61224b2f4,2025-10-06T15:35:55.729782+00:00,26,BFA,Burkina Faso,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,8109,YES,The project involves the development and transfer,"YES
Rationale: The project involves the development and transfer",,465,298,763
9ab8033d61cc6bfa,2025-10-06T15:35:59.866047+00:00,18,LVA,Latvia,baseline_plus_one,31,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,26068,,,"



",ParseError: decision not found,316,266,582
05aa72d85804dda4,2025-10-06T15:36:00.541871+00:00,23,UGA,Uganda,baseline_plus_one,10,Other,Africa,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4796,YES,The project involves the development of,"YES
Rationale: The project involves the development of",,806,298,1104
dac277827eeb16e2,2025-10-06T15:36:04.572982+00:00,34,LSO,Lesotho,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,18840,,.,"
.",ParseError: decision not found,649,278,927
714156d80c6057f0,2025-10-06T15:36:05.071444+00:00,7,ASM,American Samoa,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5177,YES,The project involves developing control methods and technologies,"YES
Rationale: The project involves developing control methods and technologies",,186,298,484
42f190e8d9f41657,2025-10-06T15:36:05.937015+00:00,34,KAZ,Kazakhstan,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5392,YES,The project involves the development,"YES
Rationale: The project involves the development",,651,298,949
2872f54dfbc5dc51,2025-10-06T15:36:09.065152+00:00,6,SHN,"Saint Helena, Ascension and Tristan da Cunha",baseline_plus_one,1,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4489,YES,The project involves the development of dynamic,"YES
Rationale: The project involves the development of dynamic",,171,298,469
632ce024f9707496,2025-10-06T15:36:10.344577+00:00,6,NLD,Netherlands,baseline_plus_one,1,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5254,YES,"The project involves the development of ""","YES
Rationale: The project involves the development of """,,164,298,462
ffd37b52eef3043c,2025-10-06T15:36:10.998691+00:00,26,MYT,Mayotte,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5059,YES,The project involves the development,"YES
Rationale: The project involves the development",,465,298,763
22b2b2f50367a24d,2025-10-06T15:36:14.152992+00:00,26,BRN,Brunei Darussalam,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5079,YES,The project involves the development of novel distributed,"YES
Rationale: The project involves the development of novel distributed",,467,298,765
24414f11f06be10d,2025-10-06T15:36:15.481696+00:00,25,BLR,Belarus,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5117,YES,The project involves a partner located in Belarus,"YES
Rationale: The project involves a partner located in Belarus",,754,298,1052
90234046f1ff6ece,2025-10-06T15:36:15.917156+00:00,14,RWA,Rwanda,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,20924,,,"


",ParseError: decision not found,188,277,465
12c41e31c458bc45,2025-10-06T15:36:16.283015+00:00,23,AUS,Australia,baseline_plus_one,10,FiveEyes,Oceania,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5267,NO,The project focuses on developing a computational system,"NO
Rationale: The project focuses on developing a computational system",,806,298,1104
c90eddd697bf3c40,2025-10-06T15:36:18.536942+00:00,12,ZMB,Zambia,baseline_plus_one,5,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4373,NO,The project focuses on high-level sustainable,"NO
Rationale: The project focuses on high-level sustainable",,187,298,485
cfe0ec141236d159,2025-10-06T15:36:20.325065+00:00,34,RUS,Russian Federation,baseline_plus_one,0,BRICS,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4813,YES,The project involves a partner located in,"YES
Rationale: The project involves a partner located in",,652,298,950
f3388e20c951885d,2025-10-06T15:36:20.885196+00:00,1,SWE,Sweden,baseline_plus_one,0,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4951,YES,"The project involves the ""development"" of","YES
Rationale: The project involves the ""development"" of",,415,298,713
9c189c38d84c30d1,2025-10-06T15:36:21.633403+00:00,7,GHA,Ghana,baseline_plus_one,3,Other,Africa,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5336,YES,The project involves the development of control methods,"YES
Rationale: The project involves the development of control methods",,185,298,483
9e1fb8ed0bdb1b99,2025-10-06T15:36:23.126553+00:00,7,NAM,Namibia,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4571,YES,The project develops technology for the control,"YES
Rationale: The project develops technology for the control",,185,298,483
894cffe5c3ac1895,2025-10-06T15:36:24.996821+00:00,8,MMR,Myanmar,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4668,YES,The project involves SONAR and underwater acoustic,"YES
Rationale: The project involves SONAR and underwater acoustic",,172,298,470
719edfab9b41fee6,2025-10-06T15:36:25.741496+00:00,7,URY,Uruguay,baseline_plus_one,3,Other,South America,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4082,YES,"The project develops technology for ""smart grids","YES
Rationale: The project develops technology for ""smart grids",,185,298,483
65e10a49b032d4a2,2025-10-06T15:36:26.041451+00:00,34,COG,Congo,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5134,YES,The project involves the development of technologies,"YES
Rationale: The project involves the development of technologies",,651,298,949
00e082b78167f496,2025-10-06T15:36:28.535694+00:00,7,TZA,"Tanzania, United Republic of",baseline_plus_one,3,Other,Africa,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5389,YES,The project involves developing technology,"YES
Rationale: The project involves developing technology",,189,298,487
c37accb22f16630a,2025-10-06T15:36:28.956001+00:00,24,LVA,Latvia,baseline_plus_one,3,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,3935,YES,The project involves the development and evaluation of,"YES
Rationale: The project involves the development and evaluation of",,271,298,569
c0da47ae78957b13,2025-10-06T15:36:30.943573+00:00,26,FRO,Faroe Islands,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5180,YES,The project involves the development of novel distributed,"YES
Rationale: The project involves the development of novel distributed",,466,298,764
5167713f54b5fc6d,2025-10-06T15:36:31.150277+00:00,25,RWA,Rwanda,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5068,YES,The project involves the development and testing,"YES
Rationale: The project involves the development and testing",,754,298,1052
43e2f2bf5a71297c,2025-10-06T15:36:33.158845+00:00,2,MEX,Mexico,baseline_plus_one,5,Other,North America,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4609,YES,"The project involves ""telemetry solutions""","YES
Rationale: The project involves ""telemetry solutions""",,171,297,468
9bfbb1487bf0c53b,2025-10-06T15:36:33.632617+00:00,23,SLE,Sierra Leone,baseline_plus_one,10,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4669,YES,"The project involves developing a ""","YES
Rationale: The project involves developing a """,,807,298,1105
f456a770120439bb,2025-10-06T15:36:35.847470+00:00,34,HKG,Hong Kong,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4893,YES,The project involves research and development of,"YES
Rationale: The project involves research and development of",,652,298,950
99bbe38b1ada2fe6,2025-10-06T15:36:36.362417+00:00,25,SWZ,Eswatini,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5070,YES,The project involves the development and sharing,"YES
Rationale: The project involves the development and sharing",,756,298,1054
552b9377c6280bcf,2025-10-06T15:36:38.384945+00:00,25,BRB,Barbados,baseline_plus_one,0,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5213,YES,The project focuses on the development,"YES
Rationale: The project focuses on the development",,754,298,1052
b7482060a339f531,2025-10-06T15:36:38.522799+00:00,12,SYR,Syrian Arab Republic,baseline_plus_one,5,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4886,YES,The project involves collaboration with a public,"YES
Rationale: The project involves collaboration with a public",,189,298,487
ebe22cf259a1f28c,2025-10-06T15:36:41.001311+00:00,26,CHE,Switzerland,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4618,YES,The project involves the development of novel distributed,"YES
Rationale: The project involves the development of novel distributed",,464,298,762
dea0fc2b8cc58775,2025-10-06T15:36:41.550469+00:00,34,AUT,Austria,baseline_plus_one,0,EU,Europe,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5689,YES,The project involves research and,"YES
Rationale: The project involves research and",,651,298,949
c2344ad7d904c4e4,2025-10-06T15:36:44.118614+00:00,7,NOR,Norway,baseline_plus_one,3,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,5395,YES,The project involves developing technology for smart grids,"YES
Rationale: The project involves developing technology for smart grids",,185,298,483
3c23b28a9ce3c4e9,2025-10-06T15:36:45.613906+00:00,2,AFG,Afghanistan,baseline_plus_one,5,Other,Other,gemini2.5,google/gemini-2.5-pro,google/gemini-2.5-pro,4584,YES,The project involves collaboration with a partner,"YES
Rationale: The project involves collaboration with a partner",,171,298,469
