model,region,b0p1,b1p0,n_discordant,p_raw,p_adj
chatgpt-4o,Africa,23,0,23,2.384185791015625e-07,5.563100179036459e-07
chatgpt-4o,Asia,71,0,71,8.470329472543003e-22,2.964615315390051e-21
chatgpt-4o,Europe,1,0,1,1.0,1.0
chatgpt-4o,North America,2,0,2,0.5,0.5833333333333334
chatgpt-4o,Oceania,4,0,4,0.125,0.175
chatgpt-4o,Other,387,0,387,6.344854593289123e-117,4.441398215302386e-116
chatgpt-4o,South America,21,0,21,9.5367431640625e-07,1.6689300537109375e-06
claude-sonnet-4,Africa,17,0,17,1.52587890625e-05,2.13623046875e-05
claude-sonnet-4,Asia,49,0,49,3.552713678800501e-15,1.2434497875801753e-14
claude-sonnet-4,Europe,27,0,27,1.4901161193847656e-08,3.476937611897787e-08
claude-sonnet-4,North America,4,0,4,0.125,0.14583333333333334
claude-sonnet-4,Oceania,3,0,3,0.25,0.25
claude-sonnet-4,Other,344,0,344,5.5809931214954833e-104,3.9066951850468383e-103
claude-sonnet-4,South America,20,0,20,1.9073486328125e-06,3.337860107421875e-06
gemini2.5,Africa,9,2,11,0.0654296875,0.114501953125
gemini2.5,Asia,20,2,22,0.00012111663818359375,0.0004239082336425781
gemini2.5,Europe,6,23,29,0.002315700054168701,0.005403300126393637
gemini2.5,North America,1,1,2,1.0,1.0
gemini2.5,Oceania,3,1,4,0.625,0.7291666666666667
gemini2.5,Other,124,50,174,1.9303154296651502e-08,1.351220800765605e-07
gemini2.5,South America,10,3,13,0.09228515625,0.12919921874999998
llama3.3,Africa,2,7,9,0.1796875,0.30624999999999997
llama3.3,Asia,10,5,15,0.30175781249999994,0.35205078124999994
llama3.3,Europe,0,38,38,7.275957614183426e-12,2.546585164964199e-11
llama3.3,North America,1,1,2,1.0,1.0
llama3.3,Oceania,1,5,6,0.21875,0.30624999999999997
llama3.3,Other,38,168,206,1.0605808590217732e-20,7.424066013152413e-20
llama3.3,South America,1,13,14,0.0018310546875,0.0042724609375
qwen2.5,Africa,19,8,27,0.052238985896110535,0.07313458025455474
qwen2.5,Asia,54,9,63,6.108279451688681e-09,2.1378978080910382e-08
qwen2.5,Europe,30,15,45,0.035697803555194696,0.06247115622159072
qwen2.5,North America,5,1,6,0.21875,0.25520833333333337
qwen2.5,Oceania,6,2,8,0.2890625,0.2890625
qwen2.5,Other,302,103,405,9.028677525084528e-24,6.32007426755917e-23
qwen2.5,South America,22,7,29,0.008130058646202087,0.018970136841138206
