iso3,country_name,kappa_fleiss,simple_agreement,models_reporting
ABW,Aruba,-0.25,0.6,5
AFG,Afghanistan,1.0,1.0,5
AGO,Angola,-0.25,0.6,5
AIA,Anguilla,-0.25,0.6,5
ALA,Åland Islands,-0.2500000000000007,0.8,5
ALB,Albania,-0.2500000000000007,0.8,5
AND,Andorra,-0.25,0.6,5
ARE,United Arab Emirates,-0.2500000000000007,0.8,5
ARG,Argentina,-0.2500000000000007,0.8,5
ARM,Armenia,-0.25,0.6,5
ASM,American Samoa,-0.25,0.6,5
ATA,Antarctica,-0.25,0.6,5
ATF,French Southern Territories,-0.25,0.6,5
ATG,Antigua and Barbuda,-0.25,0.6,5
AUS,Australia,-0.25,0.6,5
AUT,Austria,-0.25,0.6,5
AZE,Azerbaijan,-0.2500000000000007,0.8,5
BDI,Burundi,-0.25,0.6,5
BEL,Belgium,-0.25,0.6,5
BEN,Benin,-0.25,0.6,5
BES,"Bonaire, Sint Eustatius and Saba",-0.25,0.6,5
BFA,Burkina Faso,-0.25,0.6,5
BGD,Bangladesh,-0.2500000000000007,0.8,5
BGR,Bulgaria,-0.25,0.6,5
BHR,Bahrain,-0.2500000000000007,0.8,5
BHS,Bahamas,-0.25,0.6,5
BIH,Bosnia and Herzegovina,-0.2500000000000007,0.8,5
BLM,Saint Barthélemy,-0.25,0.6,5
BLR,Belarus,1.0,1.0,5
BLZ,Belize,-0.2500000000000007,0.8,5
BMU,Bermuda,-0.25,0.6,5
BOL,"Bolivia, Plurinational State of",-0.2500000000000007,0.8,5
BRA,Brazil,-0.2500000000000007,0.8,5
BRB,Barbados,-0.2500000000000007,0.8,5
BRN,Brunei Darussalam,-0.25,0.6,5
BTN,Bhutan,-0.2500000000000007,0.8,5
BVT,Bouvet Island,-0.25,0.6,5
BWA,Botswana,-0.2500000000000007,0.8,5
CAF,Central African Republic,-0.2500000000000007,0.8,5
CAN,Canada,-0.25,0.6,5
CCK,Cocos (Keeling) Islands,-0.2500000000000007,0.8,5
CHE,Switzerland,-0.25,0.6,5
CHL,Chile,-0.25,0.6,5
CHN,China,1.0,1.0,5
CIV,Côte d'Ivoire,-0.25,0.6,5
CMR,Cameroon,-0.2500000000000007,0.8,5
COD,"Congo, The Democratic Republic of the",-0.2500000000000007,0.8,5
COG,Congo,-0.2500000000000007,0.8,5
COK,Cook Islands,-0.25,0.6,5
COL,Colombia,-0.2500000000000007,0.8,5
COM,Comoros,-0.2500000000000007,0.8,5
CPV,Cabo Verde,-0.25,0.6,5
CRI,Costa Rica,-0.25,0.6,5
CUB,Cuba,1.0,1.0,5
CUW,Curaçao,-0.25,0.6,5
CXR,Christmas Island,-0.2500000000000007,0.8,5
CYM,Cayman Islands,-0.2500000000000007,0.8,5
CYP,Cyprus,-0.25,0.6,5
CZE,Czechia,-0.25,0.6,5
DEU,Germany,-0.25,0.6,5
DJI,Djibouti,-0.2500000000000007,0.8,5
DMA,Dominica,-0.25,0.6,5
DNK,Denmark,-0.25,0.6,5
DOM,Dominican Republic,-0.2500000000000007,0.8,5
DZA,Algeria,1.0,1.0,5
ECU,Ecuador,-0.25,0.6,5
EGY,Egypt,-0.2500000000000007,0.8,5
ERI,Eritrea,1.0,1.0,5
ESH,Western Sahara,-0.2500000000000007,0.8,5
ESP,Spain,-0.25,0.6,5
EST,Estonia,-0.25,0.6,5
ETH,Ethiopia,-0.25,0.6,5
FIN,Finland,-0.25,0.6,5
FJI,Fiji,-0.25,0.6,5
FLK,Falkland Islands (Malvinas),-0.2500000000000007,0.8,5
FRA,France,-0.25,0.6,5
FRO,Faroe Islands,-0.25,0.6,5
FSM,"Micronesia, Federated States of",-0.2500000000000007,0.8,5
GAB,Gabon,-0.2500000000000007,0.8,5
GBR,United Kingdom,-0.2500000000000007,0.8,5
GEO,Georgia,-0.25,0.6,5
GGY,Guernsey,-0.25,0.6,5
GHA,Ghana,-0.25,0.6,5
GIB,Gibraltar,-0.25,0.6,5
GIN,Guinea,-0.25,0.6,5
GLP,Guadeloupe,-0.2500000000000007,0.8,5
GMB,Gambia,-0.25,0.6,5
GNB,Guinea-Bissau,-0.2500000000000007,0.8,5
GNQ,Equatorial Guinea,-0.2500000000000007,0.8,5
GRC,Greece,-0.25,0.6,5
GRD,Grenada,-0.2500000000000007,0.8,5
GRL,Greenland,-0.25,0.6,5
GTM,Guatemala,-0.2500000000000007,0.8,5
GUF,French Guiana,-0.25,0.6,5
GUM,Guam,-0.2500000000000007,0.8,5
GUY,Guyana,-0.2500000000000007,0.8,5
HKG,Hong Kong,-0.2500000000000007,0.8,5
HMD,Heard Island and McDonald Islands,-0.25,0.6,5
HND,Honduras,-0.25,0.6,5
HRV,Croatia,-0.2500000000000007,0.8,5
HTI,Haiti,-0.25,0.6,5
HUN,Hungary,-0.25,0.6,5
IDN,Indonesia,-0.2500000000000007,0.8,5
IMN,Isle of Man,-0.25,0.6,5
IND,India,-0.25,0.6,5
IOT,British Indian Ocean Territory,-0.2500000000000007,0.8,5
IRL,Ireland,-0.25,0.6,5
IRN,"Iran, Islamic Republic of",1.0,1.0,5
IRQ,Iraq,1.0,1.0,5
ISL,Iceland,-0.25,0.6,5
ISR,Israel,1.0,1.0,5
ITA,Italy,-0.25,0.6,5
JAM,Jamaica,-0.25,0.6,5
JEY,Jersey,-0.25,0.6,5
JOR,Jordan,-0.2500000000000007,0.8,5
JPN,Japan,-0.2500000000000007,0.8,5
KAZ,Kazakhstan,-0.2500000000000007,0.8,5
KEN,Kenya,-0.2500000000000007,0.8,5
KGZ,Kyrgyzstan,-0.2500000000000007,0.8,5
KHM,Cambodia,-0.25,0.6,5
KIR,Kiribati,-0.2500000000000007,0.8,5
KNA,Saint Kitts and Nevis,-0.2500000000000007,0.8,5
KOR,"Korea, Republic of",-0.2500000000000007,0.8,5
KWT,Kuwait,1.0,1.0,5
LAO,Lao People's Democratic Republic,-0.2500000000000007,0.8,5
LBN,Lebanon,-0.2500000000000007,0.8,5
LBR,Liberia,-0.2500000000000007,0.8,5
LBY,Libya,1.0,1.0,5
LCA,Saint Lucia,-0.2500000000000007,0.8,5
LIE,Liechtenstein,-0.2500000000000007,0.8,5
LKA,Sri Lanka,-0.2500000000000007,0.8,5
LSO,Lesotho,-0.25,0.6,5
LTU,Lithuania,-0.25,0.6,5
LUX,Luxembourg,-0.25,0.6,5
LVA,Latvia,-0.25,0.6,5
MAC,Macao,-0.25,0.6,5
MAF,Saint Martin (French part),-0.25,0.6,5
MAR,Morocco,1.0,1.0,5
MCO,Monaco,-0.25,0.6,5
MDA,"Moldova, Republic of",-0.2500000000000007,0.8,5
MDG,Madagascar,-0.25,0.6,5
MDV,Maldives,-0.2500000000000007,0.8,5
MEX,Mexico,-0.2500000000000007,0.8,5
MHL,Marshall Islands,-0.25,0.6,5
MKD,North Macedonia,-0.2500000000000007,0.8,5
MLI,Mali,-0.2500000000000007,0.8,5
MLT,Malta,-0.25,0.6,5
MMR,Myanmar,-0.2500000000000007,0.8,5
MNE,Montenegro,-0.25,0.6,5
MNG,Mongolia,-0.2500000000000007,0.8,5
MNP,Northern Mariana Islands,-0.25,0.6,5
MOZ,Mozambique,-0.2500000000000007,0.8,5
MRT,Mauritania,-0.25,0.6,5
MSR,Montserrat,-0.25,0.6,5
MTQ,Martinique,-0.25,0.6,5
MUS,Mauritius,-0.2500000000000007,0.8,5
MWI,Malawi,-0.25,0.6,5
MYS,Malaysia,-0.2500000000000007,0.8,5
MYT,Mayotte,-0.25,0.6,5
NAM,Namibia,-0.25,0.6,5
NCL,New Caledonia,-0.25,0.6,5
NER,Niger,-0.25,0.6,5
NFK,Norfolk Island,-0.2500000000000007,0.8,5
NGA,Nigeria,-0.2500000000000007,0.8,5
NIC,Nicaragua,-0.2500000000000007,0.8,5
NIU,Niue,-0.2500000000000007,0.8,5
NLD,Netherlands,-0.25,0.6,5
NOR,Norway,-0.25,0.6,5
NPL,Nepal,-0.25,0.6,5
NRU,Nauru,-0.2500000000000007,0.8,5
NZL,New Zealand,-0.25,0.6,5
OMN,Oman,-0.2500000000000007,0.8,5
PAK,Pakistan,1.0,1.0,5
PAN,Panama,-0.2500000000000007,0.8,5
PCN,Pitcairn,-0.25,0.6,5
PER,Peru,-0.25,0.6,5
PHL,Philippines,-0.25,0.6,5
PLW,Palau,-0.2500000000000007,0.8,5
PNG,Papua New Guinea,-0.2500000000000007,0.8,5
POL,Poland,-0.25,0.6,5
PRI,Puerto Rico,-0.25,0.6,5
PRK,"Korea, Democratic People's Republic of",1.0,1.0,5
PRT,Portugal,-0.25,0.6,5
PRY,Paraguay,-0.25,0.6,5
PSE,"Palestine, State of",-0.2500000000000007,0.8,5
PYF,French Polynesia,-0.25,0.6,5
QAT,Qatar,-0.2500000000000007,0.8,5
REU,Réunion,-0.25,0.6,5
ROU,Romania,-0.25,0.6,5
RUS,Russian Federation,1.0,1.0,5
RWA,Rwanda,-0.25,0.6,5
SAU,Saudi Arabia,1.0,1.0,5
SDN,Sudan,1.0,1.0,5
SEN,Senegal,-0.2500000000000007,0.8,5
SGP,Singapore,-0.2500000000000007,0.8,5
SGS,South Georgia and the South Sandwich Islands,-0.2500000000000007,0.8,5
SHN,"Saint Helena, Ascension and Tristan da Cunha",-0.2500000000000007,0.8,5
SJM,Svalbard and Jan Mayen,-0.25,0.6,5
SLB,Solomon Islands,-0.2500000000000007,0.8,5
SLE,Sierra Leone,-0.2500000000000007,0.8,5
SLV,El Salvador,-0.25,0.6,5
SMR,San Marino,-0.25,0.6,5
SOM,Somalia,-0.25,0.6,5
SPM,Saint Pierre and Miquelon,-0.2500000000000007,0.8,5
SRB,Serbia,-0.25,0.6,5
SSD,South Sudan,-0.2500000000000007,0.8,5
STP,Sao Tome and Principe,-0.25,0.6,5
SUR,Suriname,-0.25,0.6,5
SVK,Slovakia,-0.25,0.6,5
SVN,Slovenia,-0.25,0.6,5
SWE,Sweden,-0.25,0.6,5
SWZ,Eswatini,-0.25,0.6,5
SXM,Sint Maarten (Dutch part),-0.2500000000000007,0.8,5
SYC,Seychelles,-0.2500000000000007,0.8,5
SYR,Syrian Arab Republic,1.0,1.0,5
TCA,Turks and Caicos Islands,-0.2500000000000007,0.8,5
TCD,Chad,-0.2500000000000007,0.8,5
TGO,Togo,-0.2500000000000007,0.8,5
THA,Thailand,-0.2500000000000007,0.8,5
TJK,Tajikistan,-0.2500000000000007,0.8,5
TKL,Tokelau,-0.25,0.6,5
TKM,Turkmenistan,1.0,1.0,5
TLS,Timor-Leste,-0.2500000000000007,0.8,5
TON,Tonga,-0.2500000000000007,0.8,5
TTO,Trinidad and Tobago,-0.25,0.6,5
TUN,Tunisia,-0.2500000000000007,0.8,5
TUR,Türkiye,-0.2500000000000007,0.8,5
TUV,Tuvalu,-0.25,0.6,5
TWN,"Taiwan, Province of China",-0.2500000000000007,0.8,5
TZA,"Tanzania, United Republic of",-0.25,0.6,5
UGA,Uganda,-0.25,0.6,5
UKR,Ukraine,-0.2500000000000007,0.8,5
UMI,United States Minor Outlying Islands,1.0,1.0,5
URY,Uruguay,-0.2500000000000007,0.8,5
USA,United States,-0.2500000000000007,0.8,5
UZB,Uzbekistan,1.0,1.0,5
VAT,Holy See (Vatican City State),-0.25,0.6,5
VCT,Saint Vincent and the Grenadines,-0.2500000000000007,0.8,5
VEN,"Venezuela, Bolivarian Republic of",1.0,1.0,5
VGB,"Virgin Islands, British",-0.2500000000000007,0.8,5
VIR,"Virgin Islands, U.S.",-0.2500000000000007,0.8,5
VNM,Viet Nam,-0.2500000000000007,0.8,5
VUT,Vanuatu,-0.2500000000000007,0.8,5
WLF,Wallis and Futuna,-0.2500000000000007,0.8,5
WSM,Samoa,-0.25,0.6,5
YEM,Yemen,1.0,1.0,5
ZAF,South Africa,-0.25,0.6,5
ZMB,Zambia,-0.2500000000000007,0.8,5
ZWE,Zimbabwe,-0.2500000000000007,0.8,5
