model,bloc,yes_rate,delta_mean,n
chatgpt-4o,BRICS,0.7066666666666667,0.24,75
chatgpt-4o,EU,0.4691358024691358,0.0024691358024691358,405
chatgpt-4o,FiveEyes,0.48,0.013333333333333334,75
chatgpt-4o,GCC,0.7111111111111111,0.24444444444444444,90
chatgpt-4o,Other,0.6177993527508091,0.1511326860841424,3090
claude-sonnet-4,BRICS,0.6666666666666666,0.2,75
claude-sonnet-4,EU,0.5333333333333333,0.06666666666666667,405
claude-sonnet-4,FiveEyes,0.52,0.05333333333333334,75
claude-sonnet-4,GCC,0.6666666666666666,0.2,90
claude-sonnet-4,Other,0.596116504854369,0.12944983818770225,3090
gemini2.5,BRICS,0.9866666666666667,0.05333333333333334,75
gemini2.5,EU,0.8925,-0.04,400
gemini2.5,FiveEyes,0.9178082191780822,-0.0136986301369863,73
gemini2.5,GCC,1.0,0.06666666666666667,90
gemini2.5,Other,0.9644853666557054,0.03222624136797106,3041
llama3.3,BRICS,0.5066666666666667,0.04,75
llama3.3,EU,0.37530864197530867,-0.09135802469135802,405
llama3.3,FiveEyes,0.4266666666666667,-0.04,75
llama3.3,GCC,0.4888888888888889,0.022222222222222223,90
llama3.3,Other,0.4184466019417476,-0.0482200647249191,3090
qwen2.5,BRICS,0.5733333333333334,0.10666666666666667,75
qwen2.5,EU,0.5037037037037037,0.037037037037037035,405
qwen2.5,FiveEyes,0.52,0.05333333333333334,75
qwen2.5,GCC,0.6333333333333333,0.16666666666666666,90
qwen2.5,Other,0.5478964401294498,0.08122977346278318,3090
