model,bloc,yes_rate,ci_low,ci_high,n
chatgpt-4o,BRICS,0.7066666666666667,0.5955934132076389,0.7976000278184184,75
chatgpt-4o,EU,0.4691358024691358,0.42105010284647104,0.5178015208630535,405
chatgpt-4o,FiveEyes,0.48,0.37068921756788065,0.5912598042683074,75
chatgpt-4o,GCC,0.7111111111111111,0.610357621849017,0.79458006037294,90
chatgpt-4o,Other,0.6177993527508091,0.6005295910563497,0.634776573292853,3090
claude-sonnet-4,BRICS,0.6666666666666666,0.5541721417516369,0.7629193429467964,75
claude-sonnet-4,EU,0.5333333333333333,0.48465966635159996,0.5813805800421133,405
claude-sonnet-4,FiveEyes,0.52,0.4087401957316927,0.6293107824321195,75
claude-sonnet-4,GCC,0.6666666666666666,0.5642212433918372,0.7554664004676025,90
claude-sonnet-4,Other,0.596116504854369,0.5787065202012015,0.6132877952155931,3090
gemini2.5,BRICS,0.9866666666666667,0.9282646257525621,0.9976425095668631,75
gemini2.5,EU,0.8814814814814815,0.8463612983333049,0.9094326326169704,405
gemini2.5,FiveEyes,0.8933333333333333,0.8033843735268642,0.9449515303614383,75
gemini2.5,GCC,1.0,0.959062931578319,0.9999999999999998,90
gemini2.5,Other,0.9491909385113269,0.940874649383113,0.9563917135748354,3090
llama3.3,BRICS,0.5066666666666667,0.39598184412213266,0.6167018152658048,75
llama3.3,EU,0.37530864197530867,0.32952971401927433,0.42343084576720535,405
llama3.3,FiveEyes,0.4266666666666667,0.32100563365956936,0.53947411307312,75
llama3.3,GCC,0.4888888888888889,0.38820314979105425,0.5904843406183163,90
llama3.3,Other,0.4184466019417476,0.40116468628900925,0.43593104608461974,3090
qwen2.5,BRICS,0.5733333333333334,0.46052588692688,0.6789943663404306,75
qwen2.5,EU,0.5037037037037037,0.45520295224492174,0.5521348529099352,405
qwen2.5,FiveEyes,0.52,0.4087401957316927,0.6293107824321195,75
qwen2.5,GCC,0.6333333333333333,0.530221128924694,0.7255289861628578,90
qwen2.5,Other,0.5478964401294498,0.5302990616480374,0.5653748733071329,3090
