model,region,yes_rate,ci_low,ci_high,n
chatgpt-4o,Africa,0.6060606060606061,0.5299042840946389,0.6773906005783328,165
chatgpt-4o,Asia,0.7033333333333334,0.6493355535896329,0.7521894515446212,300
chatgpt-4o,Europe,0.46904761904761905,0.42181673359859706,0.5168395946145845,420
chatgpt-4o,North America,0.5111111111111111,0.37004224326489743,0.6504321064697549,45
chatgpt-4o,Oceania,0.5333333333333333,0.4089320867113511,0.65372298459012,60
chatgpt-4o,Other,0.6184313725490196,0.5994119346710117,0.6370945111477109,2550
chatgpt-4o,South America,0.5743589743589743,0.5041821716950956,0.641662560996655,195
claude-sonnet-4,Africa,0.5696969696969697,0.4934106985631072,0.6428116542219884,165
claude-sonnet-4,Asia,0.63,0.574043509355098,0.6826691988454907,300
claude-sonnet-4,Europe,0.530952380952381,0.4831604053854155,0.5781832664014029,420
claude-sonnet-4,North America,0.5555555555555556,0.4117588341636532,0.6906129145096089,45
claude-sonnet-4,Oceania,0.5166666666666667,0.39307594850843575,0.6382515871422999,60
claude-sonnet-4,Other,0.6015686274509804,0.58242726278579,0.6204044241911939,2550
claude-sonnet-4,South America,0.5692307692307692,0.4990516378121812,0.6367348374525521,195
gemini2.5,Africa,0.9636363636363636,0.9229449779615346,0.983229803608884,165
gemini2.5,Asia,0.97,0.9439768490080931,0.9841383267940353,300
gemini2.5,Europe,0.8809523809523809,0.846475543796618,0.9085234935796093,420
gemini2.5,North America,0.8888888888888888,0.7650062450910905,0.9515959956217444,45
gemini2.5,Oceania,0.9666666666666667,0.8863601247107462,0.9908108735098499,60
gemini2.5,Other,0.947843137254902,0.9385197089125178,0.9558192352099368,2550
gemini2.5,South America,0.9538461538461539,0.9146243963601309,0.9755313859308988,195
llama3.3,Africa,0.43636363636363634,0.36299088860940815,0.5126321805868087,165
llama3.3,Asia,0.48333333333333334,0.42735340100317437,0.5397347133300835,300
llama3.3,Europe,0.3761904761904762,0.3311795495640066,0.4234457632887195,420
llama3.3,North America,0.4666666666666667,0.3293490394201473,0.6092279113758954,45
llama3.3,Oceania,0.4,0.28569303003765506,0.5263417560579315,60
llama3.3,Other,0.41568627450980394,0.3966980924781599,0.43492811331314685,2550
llama3.3,South America,0.40512820512820513,0.33870100614939563,0.4752212314507846,195
qwen2.5,Africa,0.5333333333333333,0.4573189068484033,0.6078309140488163,165
qwen2.5,Asia,0.6166666666666667,0.5605020926949223,0.6698811069722727,300
qwen2.5,Europe,0.5023809523809524,0.45475800704540803,0.5499607369381934,420
qwen2.5,North America,0.5555555555555556,0.4117588341636532,0.6906129145096089,45
qwen2.5,Oceania,0.5333333333333333,0.4089320867113511,0.65372298459012,60
qwen2.5,Other,0.5447058823529412,0.5253238977655106,0.5639533698614244,2550
qwen2.5,South America,0.5435897435897435,0.4735090545769014,0.6119861335527454,195
