model_key,iso3,country_name,bloc,region,n,flips,flip_rate,ci_low,ci_high,rank_desc,percentile,bucket
chatgpt-4o,AFG,Afghanistan,Other,Other,15,14,0.933333,0.701829,0.988133,3.000000,0.991968,Top 15
chatgpt-4o,BLR,Belarus,Other,Other,15,14,0.933333,0.701829,0.988133,3.000000,0.991968,Top 15
chatgpt-4o,YEM,Yemen,Other,Other,15,14,0.933333,0.701829,0.988133,3.000000,0.991968,Top 15
chatgpt-4o,SDN,Sudan,Other,Other,15,14,0.933333,0.701829,0.988133,3.000000,0.991968,Top 15
chatgpt-4o,MMR,Myanmar,Other,Other,15,14,0.933333,0.701829,0.988133,3.000000,0.991968,Top 15
chatgpt-4o,PRK,"Korea, Democratic People's Republic of",Other,Other,15,13,0.866667,0.621175,0.962640,8.500000,0.969880,Top 15
chatgpt-4o,IRQ,Iraq,Other,Other,15,13,0.866667,0.621175,0.962640,8.500000,0.969880,Top 15
chatgpt-4o,IRN,"Iran, Islamic Republic of",Other,Asia,15,13,0.866667,0.621175,0.962640,8.500000,0.969880,Top 15
chatgpt-4o,RUS,Russian Federation,BRICS,Other,15,13,0.866667,0.621175,0.962640,8.500000,0.969880,Top 15
chatgpt-4o,SYR,Syrian Arab Republic,Other,Other,15,13,0.866667,0.621175,0.962640,8.500000,0.969880,Top 15
chatgpt-4o,SSD,South Sudan,Other,Other,15,13,0.866667,0.621175,0.962640,8.500000,0.969880,Top 15
chatgpt-4o,LBY,Libya,Other,Other,15,12,0.800000,0.548141,0.929526,14.000000,0.947791,Top 15
chatgpt-4o,CHN,China,BRICS,Asia,15,12,0.800000,0.548141,0.929526,14.000000,0.947791,Top 15
chatgpt-4o,CUB,Cuba,Other,Other,15,12,0.800000,0.548141,0.929526,14.000000,0.947791,Top 15
chatgpt-4o,ERI,Eritrea,Other,Other,15,12,0.800000,0.548141,0.929526,14.000000,0.947791,Top 15
chatgpt-4o,PRI,Puerto Rico,Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,PLW,Palau,Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,PCN,Pitcairn,Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,NZL,New Zealand,FiveEyes,Oceania,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,NOR,Norway,Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,PYF,French Polynesia,Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,ROU,Romania,EU,Europe,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,SWE,Sweden,EU,Europe,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,SXM,Sint Maarten (Dutch part),Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,SHN,"Saint Helena, Ascension and Tristan da Cunha",Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,SJM,Svalbard and Jan Mayen,Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,TKL,Tokelau,Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,VGB,"Virgin Islands, British",Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,USA,United States,FiveEyes,North America,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
chatgpt-4o,VAT,Holy See (Vatican City State),Other,Other,15,0,0.000000,-0.000000,0.203889,224.500000,0.102410,Bottom 15
claude-sonnet-4,AFG,Afghanistan,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,CUB,Cuba,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,BLR,Belarus,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,ESH,Western Sahara,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,IOT,British Indian Ocean Territory,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,IRN,"Iran, Islamic Republic of",Other,Asia,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,IRQ,Iraq,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,ERI,Eritrea,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,LBY,Libya,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,VEN,"Venezuela, Bolivarian Republic of",Other,South America,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,RUS,Russian Federation,BRICS,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,SSD,South Sudan,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,SOM,Somalia,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,SDN,Sudan,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,YEM,Yemen,Other,Other,15,9,0.600000,0.357464,0.801758,10.500000,0.961847,Top 15
claude-sonnet-4,SVN,Slovenia,EU,Europe,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,SMR,San Marino,Other,Other,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,SVK,Slovakia,EU,Europe,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,RWA,Rwanda,Other,Other,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,ROU,Romania,EU,Europe,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,TUV,Tuvalu,Other,Other,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,TON,Tonga,Other,Other,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,UMI,United States Minor Outlying Islands,Other,Other,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,UGA,Uganda,Other,Africa,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,USA,United States,FiveEyes,North America,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,VAT,Holy See (Vatican City State),Other,Other,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,VIR,"Virgin Islands, U.S.",Other,Other,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,URY,Uruguay,Other,South America,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,WSM,Samoa,Other,Other,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
claude-sonnet-4,ZAF,South Africa,BRICS,Africa,15,0,0.000000,-0.000000,0.203889,204.500000,0.182731,Bottom 15
gemini2.5,AFG,Afghanistan,Other,Other,15,9,0.600000,0.357464,0.801758,1.000000,1.000000,Top 15
