model_key,iso3,country_name,bloc,region,a,b1p0,b0p1,d,n_total,n_discordant,p,effect_delta,effect_rate,rank_in_model,p_adj
chatgpt-4o,ABW,Aruba,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.004081632653061225
chatgpt-4o,AFG,Afghanistan,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.00816326530612245
chatgpt-4o,AGO,Angola,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0.012244897959183673
chatgpt-4o,AIA,Anguilla,Other,Other,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4,0.0163265306122449
chatgpt-4o,ALA,Åland Islands,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0.02040816326530612
chatgpt-4o,ALB,Albania,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,0.024489795918367346
chatgpt-4o,AND,Andorra,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,0.02857142857142857
chatgpt-4o,ARE,United Arab Emirates,GCC,Asia,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8,0.0326530612244898
chatgpt-4o,ARG,Argentina,Other,South America,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,0.036734693877551024
chatgpt-4o,ARM,Armenia,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0.04081632653061224
chatgpt-4o,ASM,American Samoa,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,0.044897959183673466
chatgpt-4o,ATA,Antarctica,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,0.04897959183673469
chatgpt-4o,ATF,French Southern Territories,Other,Other,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13,0.053061224489795916
chatgpt-4o,ATG,Antigua and Barbuda,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,0.05714285714285714
chatgpt-4o,AUS,Australia,FiveEyes,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,0.061224489795918366
chatgpt-4o,AUT,Austria,EU,Europe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,0.0653061224489796
chatgpt-4o,AZE,Azerbaijan,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,0.06938775510204082
chatgpt-4o,BDI,Burundi,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18,0.07346938775510205
chatgpt-4o,BEL,Belgium,EU,Europe,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,19,0.07755102040816327
chatgpt-4o,BES,"Bonaire, Sint Eustatius and Saba",Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,0.08163265306122448
chatgpt-4o,BFA,Burkina Faso,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,0.08571428571428572
chatgpt-4o,BGD,Bangladesh,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22,0.08979591836734693
chatgpt-4o,BGR,Bulgaria,EU,Europe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23,0.09387755102040816
chatgpt-4o,BHR,Bahrain,GCC,Asia,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24,0.09795918367346938
chatgpt-4o,BHS,Bahamas,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,0.10204081632653061
chatgpt-4o,BIH,Bosnia and Herzegovina,Other,Other,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,26,0.10612244897959183
chatgpt-4o,BLM,Saint Barthélemy,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,0.11020408163265306
chatgpt-4o,BLR,Belarus,Other,Other,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,28,0.11428571428571428
chatgpt-4o,BLZ,Belize,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,0.11836734693877551
chatgpt-4o,BMU,Bermuda,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,0.12244897959183673
chatgpt-4o,BOL,"Bolivia, Plurinational State of",Other,South America,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,0.12653061224489795
chatgpt-4o,BRA,Brazil,BRICS,South America,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32,0.1306122448979592
chatgpt-4o,BRB,Barbados,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33,0.1346938775510204
chatgpt-4o,BRN,Brunei Darussalam,Other,Other,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,34,0.13877551020408163
chatgpt-4o,BTN,Bhutan,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,0.14285714285714285
chatgpt-4o,BVT,Bouvet Island,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,0.1469387755102041
chatgpt-4o,CAF,Central African Republic,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37,0.1510204081632653
chatgpt-4o,CCK,Cocos (Keeling) Islands,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38,0.15510204081632653
chatgpt-4o,CHE,Switzerland,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39,0.15918367346938775
chatgpt-4o,CHL,Chile,Other,South America,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40,0.16326530612244897
chatgpt-4o,CHN,China,BRICS,Asia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41,0.1673469387755102
chatgpt-4o,CIV,Côte d'Ivoire,Other,Other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42,0.17142857142857143
chatgpt-4o,CMR,Cameroon,Other,Other,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,43,0.17551020408163265
chatgpt-4o,COD,"Congo, The Democratic Republic of the",Other,Other,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,44,0.17959183673469387
