model_key,n_rows,n_countries,n_discordant_rows,n_sig_fdr_005,share_sig_fdr_005,median_abs_effrate,iqr_abs_effrate,which,top_pos_country,top_pos,top_neg_country,top_neg
chatgpt-4o,249.000000,249.000000,199.000000,28.000000,0.112450,0.066667,0.133333,t00,Eritrea (ERI),0.266667,Turks and Caicos Islands (TCA),-0.200000
claude-sonnet-4,249.000000,249.000000,159.000000,58.000000,0.232932,0.066667,0.200000,t00,Afghanistan (AFG),0.600000,Gibraltar (GIB),-0.066667
gemini2.5,249.000000,249.000000,246.000000,64.000000,0.257028,0.133333,0.200000,t00,Belarus (BLR),0.466667,Denmark (DNK),-0.266667
llama3.3,249.000000,249.000000,76.000000,42.000000,0.168675,0.000000,0.066667,t00,Lao People's Democratic Republic (LAO),0.466667,Antarctica (ATA),0.000000
qwen2.5,249.000000,249.000000,247.000000,173.000000,0.694779,0.400000,0.133333,t00,"Virgin Islands, U.S. (VIR)",0.200000,Benin (BEN),-0.466667
chatgpt-4o,245.000000,245.000000,41.000000,12.000000,0.048980,0.000000,0.000000,t20,United Arab Emirates (ARE),1.000000,Aruba (ABW),0.000000
claude-sonnet-4,245.000000,245.000000,43.000000,12.000000,0.048980,0.000000,0.000000,t20,Anguilla (AIA),1.000000,Aruba (ABW),0.000000
gemini2.5,245.000000,245.000000,0.000000,12.000000,0.048980,0.000000,0.000000,t20,Aruba (ABW),0.000000,Aruba (ABW),0.000000
llama3.3,245.000000,245.000000,4.000000,12.000000,0.048980,0.000000,0.000000,t20,Belarus (BLR),1.000000,Aruba (ABW),0.000000
qwen2.5,245.000000,245.000000,34.000000,12.000000,0.048980,0.000000,0.000000,t20,Anguilla (AIA),1.000000,Aruba (ABW),0.000000
