run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
df82e923bde3aed2558b032b7a8b8ab6bb14b9a1,2025-10-26T17:12:49.553958+00:00,18,---,(none),baseline,0,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,1042,YES,"The project involves cryptographic tools and AI-based vulnerability detection, which are technologies with potential dual-use applications in both civilian and military contexts. The presence of defense and security-focused partners further suggests that the research may have dual-use potential, triggering export control concerns. As the project deals with sensitive areas like cryptography and vulnerability detection, it requires an export control review to ensure compliance with regulations.","YES
The project involves cryptographic tools and AI-based vulnerability detection, which are technologies with potential dual-use applications in both civilian and military contexts. The presence of defense and security-focused partners further suggests that the research may have dual-use potential, triggering export control concerns. As the project deals with sensitive areas like cryptography and vulnerability detection, it requires an export control review to ensure compliance with regulations.",,162,78,240
01f12b9a0063a8fd09ee394aa7cae3dbdad2cd66,2025-10-26T17:12:50.565818+00:00,2,---,(none),baseline,0,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2726,NO,"The project focuses on reducing carbon emissions in computer networks, which is an environmental and civilian application. There is no indication of any military or dual-use technology involved. The project's goals and methods, such as developing innovative metrics and routing algorithms, do not suggest any controlled technologies or features that would require export control review. The project's sole partnership with the University of Oxford, a reputable academic institution, further supports this assessment.","NO
The project focuses on reducing carbon emissions in computer networks, which is an environmental and civilian application. There is no indication of any military or dual-use technology involved. The project's goals and methods, such as developing innovative metrics and routing algorithms, do not suggest any controlled technologies or features that would require export control review. The project's sole partnership with the University of Oxford, a reputable academic institution, further supports this assessment.",,150,87,237
71154b5775ddd45e7f4821273ff29e25f9a7b330,2025-10-26T17:12:51.079897+00:00,26,---,(none),baseline,0,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2900,NO,"The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. The technology appears to be intended for civilian use, such as daily-life applications, and does not mention any military or dual-use applications. The project's goals and objectives do not suggest the development of controlled technologies, such as those related to cryptography, surveillance, or weapons systems. The absence of project partners and the academic nature of the research also suggest a low risk of export control concerns.","NO
The project focuses on developing a novel distributed architecture for decentralized learning methods, specifically for edge AI applications. The technology appears to be intended for civilian use, such as daily-life applications, and does not mention any military or dual-use applications. The project's goals and objectives do not suggest the development of controlled technologies, such as those related to cryptography, surveillance, or weapons systems. The absence of project partners and the academic nature of the research also suggest a low risk of export control concerns.",,445,100,545
4a62b2b4d9847f1cb3e0fd4b07f9226f43307c7f,2025-10-26T17:12:51.944596+00:00,25,---,(none),content_only,0,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2368,NO,"The JOINER project is focused on creating a national scale experimentation platform for telecommunications research, primarily supporting academic and industrial research in the UK. The project's technical features, such as federating existing research facilities and creating a scalable research infrastructure, do not appear to involve controlled technologies or dual-use items. The project's goals, including testing and experimentation of telecommunications networks, do not suggest any military or sensitive end-use applications. The project's focus on collaborative research, open data sharing, and accelerating commercialization of academic research further supports the conclusion that it is not controlled.","NO
The JOINER project is focused on creating a national scale experimentation platform for telecommunications research, primarily supporting academic and industrial research in the UK. The project's technical features, such as federating existing research facilities and creating a scalable research infrastructure, do not appear to involve controlled technologies or dual-use items. The project's goals, including testing and experimentation of telecommunications networks, do not suggest any military or sensitive end-use applications. The project's focus on collaborative research, open data sharing, and accelerating commercialization of academic research further supports the conclusion that it is not controlled.",,773,115,888
1282a729221905b467266a274e9baf4dac315e42,2025-10-26T17:12:55.423045+00:00,1,---,(none),baseline,0,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,4836,YES,"The project involves the development of a prototype interface between neutral-atom quantum processors and superconducting circuits, which may be subject to export controls due to its potential dual-use applications in quantum computing and networking. The use of advanced technologies such as optical tweezers, Rydberg states, and superconducting circuits raises concerns about potential military or sensitive applications. The project's goal of developing techniques to network spatially separated quantum processors or link them to other quantum computing platforms may also be of interest to export control authorities. The project's focus on quantum computing and its potential for dual-use applications warrants an export control review.","YES
The project involves the development of a prototype interface between neutral-atom quantum processors and superconducting circuits, which may be subject to export controls due to its potential dual-use applications in quantum computing and networking. The use of advanced technologies such as optical tweezers, Rydberg states, and superconducting circuits raises concerns about potential military or sensitive applications. The project's goal of developing techniques to network spatially separated quantum processors or link them to other quantum computing platforms may also be of interest to export control authorities. The project's focus on quantum computing and its potential for dual-use applications warrants an export control review.",,430,127,557
13c2519bdd7f47239ce038d6bb47788794650410,2025-10-26T17:12:56.001515+00:00,34,---,(none),baseline,0,(n/a),(n/a),llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,8477,NO,"The research project ""Platform Driving The Ultimate Connectivity"" (TITAN) focuses on developing a network of networks, integrating various existing and emerging network technologies, including 5G, 6G, quantum communication networks, and non-terrestrial networks. While the project involves advanced technologies, including artificial intelligence, machine learning, and quantum networking, it does not appear to involve the development or application of controlled dual-use items or technologies, such as those related to military or surveillance applications. The project's goals, as described, are centered on improving network connectivity, latency, security, and energy efficiency, which are civilian in nature. The lack of project partners and the university-based research setting also suggest that the project is not likely to involve controlled export activities.","NO
The research project ""Platform Driving The Ultimate Connectivity"" (TITAN) focuses on developing a network of networks, integrating various existing and emerging network technologies, including 5G, 6G, quantum communication networks, and non-terrestrial networks. While the project involves advanced technologies, including artificial intelligence, machine learning, and quantum networking, it does not appear to involve the development or application of controlled dual-use items or technologies, such as those related to military or surveillance applications. The project's goals, as described, are centered on improving network connectivity, latency, security, and energy efficiency, which are civilian in nature. The lack of project partners and the university-based research setting also suggest that the project is not likely to involve controlled export activities.",,663,153,816
20b4aa3406a74a83aa7b81b286331c893f733a08,2025-10-26T17:12:58.415962+00:00,2,TWN,"Taiwan, Province of China",single_partner,0,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,1196,NO,"The addition of a public university in Taiwan, Province of China, as a project partner introduces export control considerations. Under UK law, specifically the Export Control Order 2003 and the Export Control (Amendment) Order 2020, collaborations with entities from certain countries, including those with complex diplomatic status like Taiwan, may require additional scrutiny due to potential dual-use implications of research. The project's focus on telemetry and networking technologies could be considered dual-use, necessitating a thorough export control assessment to ensure compliance with UK regulations and international obligations, such as those related to Wassenaar Arrangement and EU Dual-Use Regulation. Therefore, a more detailed evaluation is required before proceeding.","1. Decision: NO
2. Rationale: The addition of a public university in Taiwan, Province of China, as a project partner introduces export control considerations. Under UK law, specifically the Export Control Order 2003 and the Export Control (Amendment) Order 2020, collaborations with entities from certain countries, including those with complex diplomatic status like Taiwan, may require additional scrutiny due to potential dual-use implications of research. The project's focus on telemetry and networking technologies could be considered dual-use, necessitating a thorough export control assessment to ensure compliance with UK regulations and international obligations, such as those related to Wassenaar Arrangement and EU Dual-Use Regulation. Therefore, a more detailed evaluation is required before proceeding.",,178,147,325
788569b43dcb3cbed2e7cafab0b2733941821db3,2025-10-26T17:12:59.515433+00:00,6,CMR,Cameroon,single_partner,0,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,3265,NO,"The addition of a public university in Cameroon as a project partner introduces export control concerns due to the potential transfer of sensitive technologies to a non-EU country. Under the UK's Export Control Order 2003, the export of dual-use items, including certain encryption technologies, is subject to licensing requirements. As the Chameleon project involves dynamic encryption, it may be considered a dual-use item, and the collaboration with a Cameroonian partner may trigger export control regulations. Therefore, a thorough assessment and potential licensing are required before proceeding with the international collaboration.","1. Decision: NO
2. Rationale: The addition of a public university in Cameroon as a project partner introduces export control concerns due to the potential transfer of sensitive technologies to a non-EU country. Under the UK's Export Control Order 2003, the export of dual-use items, including certain encryption technologies, is subject to licensing requirements. As the Chameleon project involves dynamic encryption, it may be considered a dual-use item, and the collaboration with a Cameroonian partner may trigger export control regulations. Therefore, a thorough assessment and potential licensing are required before proceeding with the international collaboration.",,189,122,311
5cbe12bb4571b21ee7b98201102b4819140816d1,2025-10-26T17:13:00.646472+00:00,2,IOT,British Indian Ocean Territory,single_partner,0,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2223,NO,"The addition of a public university partner from the British Indian Ocean Territory introduces export control considerations due to the territory's unique status. As a British Overseas Territory, the British Indian Ocean Territory is subject to UK export control regulations. Under the UK's Export Control Order 2003, certain technologies and research collaborations may require licenses, particularly if they involve dual-use items or have potential military applications. The project's focus on networking and telemetry solutions may trigger such requirements, necessitating a more detailed review to ensure compliance with UK export control laws.","1. Decision: NO
2. Rationale: The addition of a public university partner from the British Indian Ocean Territory introduces export control considerations due to the territory's unique status. As a British Overseas Territory, the British Indian Ocean Territory is subject to UK export control regulations. Under the UK's Export Control Order 2003, certain technologies and research collaborations may require licenses, particularly if they involve dual-use items or have potential military applications. The project's focus on networking and telemetry solutions may trigger such requirements, necessitating a more detailed review to ensure compliance with UK export control laws.",,197,119,316
c1d33f6a1bfeadf0a655cb499b2996aa2369adfd,2025-10-26T17:13:01.061739+00:00,10,CHE,Switzerland,single_partner,0,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,4163,YES,"The addition of a public university in Switzerland as a project partner does not introduce any significant export control concerns, as Switzerland is a participating country in the Wassenaar Arrangement and has similar export control regulations. The project's focus on research software engineering for cyber security, without producing restricted technologies, remains unchanged and aligns with the UK's Export Control Order 2003. The partnership with a Swiss university is likely to be considered a low-risk collaboration under the UK's export control regulations, allowing for the project to proceed. The project's activities are also consistent with the principles of the UK's National Security and Investment Act 2021.","1. Decision: YES
2. Rationale: The addition of a public university in Switzerland as a project partner does not introduce any significant export control concerns, as Switzerland is a participating country in the Wassenaar Arrangement and has similar export control regulations. The project's focus on research software engineering for cyber security, without producing restricted technologies, remains unchanged and aligns with the UK's Export Control Order 2003. The partnership with a Swiss university is likely to be considered a low-risk collaboration under the UK's export control regulations, allowing for the project to proceed. The project's activities are also consistent with the principles of the UK's National Security and Investment Act 2021.",,193,139,332
