model_key,contrast,pa,pb,delta,z,p,na,nb,p_adj
chatgpt-4o,BRICS vs EU,0.4,0.0,0.4,3.3941125496954285,0.0006885138966450377,5,27,0.002754055586580151
chatgpt-4o,GCC vs EU,0.16666666666666666,0.0,0.16666666666666666,2.1542109924517607,0.031223629203321224,6,27,0.06244725840664245
chatgpt-4o,BRICS vs FiveEyes,0.4,0.0,0.4,1.5811388300841895,0.11384629800665813,5,5,0.15179506400887752
chatgpt-4o,GCC vs FiveEyes,0.16666666666666666,0.0,0.16666666666666666,0.957427107756338,0.3383517215622194,6,5,0.3383517215622194
claude-sonnet-4,BRICS vs EU,0.2,0.0,0.2,2.3609730088222305,0.018227057176080308,5,27,0.07290822870432123
claude-sonnet-4,BRICS vs FiveEyes,0.2,0.0,0.2,1.0540925533894598,0.29184054514378843,5,5,0.5836810902875769
claude-sonnet-4,GCC vs EU,0.0,0.0,0.0,,1.0,6,27,1.0
claude-sonnet-4,GCC vs FiveEyes,0.0,0.0,0.0,,1.0,6,5,1.0
gemini2.5,BRICS vs EU,0.4,0.0,0.4,3.3941125496954285,0.0006885138966450377,5,27,0.002754055586580151
gemini2.5,GCC vs FiveEyes,0.0,0.2,-0.2,-1.0540925533894598,0.29184054514378843,5,5,0.5836810902875769
gemini2.5,BRICS vs FiveEyes,0.4,0.2,0.2,0.6900655593423543,0.4901529604158248,5,5,0.653537280554433
gemini2.5,GCC vs EU,0.0,0.0,0.0,,1.0,5,27,1.0
llama3.3,BRICS vs EU,0.4,0.0,0.4,3.3941125496954285,0.0006885138966450377,5,27,0.002754055586580151
llama3.3,GCC vs EU,0.16666666666666666,0.0,0.16666666666666666,2.1542109924517607,0.031223629203321224,6,27,0.06244725840664245
llama3.3,BRICS vs FiveEyes,0.4,0.0,0.4,1.5811388300841895,0.11384629800665813,5,5,0.15179506400887752
llama3.3,GCC vs FiveEyes,0.16666666666666666,0.0,0.16666666666666666,0.957427107756338,0.3383517215622194,6,5,0.3383517215622194
qwen2.5,BRICS vs EU,0.2,0.0,0.2,2.3609730088222305,0.018227057176080308,5,27,0.07290822870432123
qwen2.5,BRICS vs FiveEyes,0.2,0.0,0.2,1.0540925533894598,0.29184054514378843,5,5,0.5836810902875769
qwen2.5,GCC vs EU,0.0,0.0,0.0,,1.0,6,27,1.0
qwen2.5,GCC vs FiveEyes,0.0,0.0,0.0,,1.0,6,5,1.0
