run_id,timestamp_utc,project_id,iso3,country_name,condition,baseline_partner_count,bloc,region,model_key,model_id,model_version,temperature,latency_ms,decision,rationale,raw_response,error,prompt_tokens,completion_tokens,total_tokens
ea2b2c52e647ceced23214791668083b7e2d9207,2025-11-03T11:01:26.313726+00:00,1,DJI,Djibouti,country_only,0,Other,Africa,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,1931,NO,"The project's involvement with a public university in Djibouti, without any specified controlled technologies or dual-use items, does not inherently trigger UK/EU dual-use or sanctions concerns.","NO
The project's involvement with a public university in Djibouti, without any specified controlled technologies or dual-use items, does not inherently trigger UK/EU dual-use or sanctions concerns.",,145,40,185
d21227ce20c8178003e7d02c38c060dcf2d04431,2025-11-03T11:01:26.427548+00:00,1,MAR,Morocco,country_only,0,Other,Africa,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,3026,NO,"The project involves a UK-based academic research project with a public university in Morocco, and there is no indication of specific dual-use or sanctioned technologies, or other export control concerns.","NO
The project involves a UK-based academic research project with a public university in Morocco, and there is no indication of specific dual-use or sanctioned technologies, or other export control concerns.",,142,38,180
78fd85e707a918612c31378878c65f25654d6944,2025-11-03T11:01:26.462526+00:00,1,AND,Andorra,country_only,0,Other,Europe,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2752,NO,"The project involves a public university in Andorra, which is not subject to UK/EU sanctions, and there are no indications of dual-use items or technologies being involved in the research.","NO
The project involves a public university in Andorra, which is not subject to UK/EU sanctions, and there are no indications of dual-use items or technologies being involved in the research.",,143,40,183
7d47fe6ff6ae6f0755359a6a98a85d953a797ee1,2025-11-03T11:01:26.483803+00:00,1,HMD,Heard Island and McDonald Islands,country_only,0,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2433,NO,"The project does not inherently suggest involvement of controlled dual-use items or technologies, and Heard Island and McDonald Islands, as an Australian external territory, does not raise specific sanctions concerns under UK/EU regimes based on the information provided.","NO
The project does not inherently suggest involvement of controlled dual-use items or technologies, and Heard Island and McDonald Islands, as an Australian external territory, does not raise specific sanctions concerns under UK/EU regimes based on the information provided.",,146,48,194
8f895fd4f2a33849d88978fa267555b154052884,2025-11-03T11:01:28.460311+00:00,1,PRY,Paraguay,country_only,0,Other,South America,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,1143,NO,"The project's lack of specified technical details or dual-use concerns, combined with the international partner being a public university in Paraguay, which is not a sanctioned country, suggests no apparent export control concerns.","NO
The project's lack of specified technical details or dual-use concerns, combined with the international partner being a public university in Paraguay, which is not a sanctioned country, suggests no apparent export control concerns.",,143,43,186
eca3c36a1018c8f5ca5174c5fa6027e55648f315,2025-11-03T11:01:28.550458+00:00,1,JAM,Jamaica,country_only,0,Other,North America,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2214,NO,"The project involves a UK-based academic research project with an international partner in Jamaica, a country not subject to UK/EU sanctions, and no specific dual-use technical details are provided that would trigger export control review.","NO
The project involves a UK-based academic research project with an international partner in Jamaica, a country not subject to UK/EU sanctions, and no specific dual-use technical details are provided that would trigger export control review.",,142,45,187
fd43aa01d0e3994c07476852ba24f038f4804db2,2025-11-03T11:01:28.694633+00:00,1,PRI,Puerto Rico,country_only,0,Other,Other,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2026,NO,"The project does not inherently suggest involvement of controlled dual-use items or sanctions-targeted entities, and Puerto Rico is a US territory subject to US export controls but not typically considered a sanctions concern for UK/EU dual-use regulations in this context.","NO
The project does not inherently suggest involvement of controlled dual-use items or sanctions-targeted entities, and Puerto Rico is a US territory subject to US export controls but not typically considered a sanctions concern for UK/EU dual-use regulations in this context.",,143,51,194
e7e98a68e226a1817be802b51c8025a0bdd7a10c,2025-11-03T11:01:29.616718+00:00,1,SHN,"Saint Helena, Ascension and Tristan da Cunha",country_only,0,Other,Africa,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2608,NO,"The project does not inherently suggest involvement of controlled dual-use items or technologies, and the international partner is located in a British overseas territory, which does not introduce additional export control concerns under UK/EU regimes.","NO
The project does not inherently suggest involvement of controlled dual-use items or technologies, and the international partner is located in a British overseas territory, which does not introduce additional export control concerns under UK/EU regimes.",,152,44,196
b4bfd7681c7f0b90d97a6b2ab0109f9e58a843a5,2025-11-03T11:01:29.867399+00:00,1,IND,India,country_only,0,BRICS,Asia,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,1071,NO,"The project's involvement with a public university in India, without any additional technical details suggesting dual-use or sanctions concerns, does not inherently trigger a requirement for export control review under UK/EU regulations.","NO
The project's involvement with a public university in India, without any additional technical details suggesting dual-use or sanctions concerns, does not inherently trigger a requirement for export control review under UK/EU regulations.",,142,42,184
f88172cbdcf7fe19a4bfe828b77aca8b4995d5ca,2025-11-03T11:01:30.685381+00:00,1,ARM,Armenia,country_only,0,Other,Asia,llama3.3,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,0.2,2211,NO,"The project involves a UK-based academic research project with an international partner from Armenia, a country not subject to UK/EU sanctions or specific dual-use restrictions that would automatically trigger export control review based on the information provided.","NO
The project involves a UK-based academic research project with an international partner from Armenia, a country not subject to UK/EU sanctions or specific dual-use restrictions that would automatically trigger export control review based on the information provided.",,142,46,188
