iso3,country_name,bloc,region,embargo
ABW,Aruba,Other,Other,0
AFG,Afghanistan,Other,Asia,1
AGO,Angola,Other,Africa,0
AIA,Anguilla,Other,North America,0
ALA,Åland Islands,Other,Other,0
ALB,Albania,Other,Europe,1
AND,Andorra,Other,Europe,0
ARE,United Arab Emirates,GCC,Asia,0
ARG,Argentina,Other,South America,1
ARM,Armenia,Other,Asia,1
ASM,American Samoa,Other,Oceania,0
ATA,Antarctica,Other,Other,0
ATF,French Southern Territories,Other,Other,0
ATG,Antigua and Barbuda,Other,North America,0
AUS,Australia,FiveEyes,Oceania,0
AUT,Austria,EU,Europe,0
AZE,Azerbaijan,Other,Asia,1
BDI,Burundi,Other,Africa,0
BEL,Belgium,EU,Europe,0
BEN,Benin,Other,Africa,1
BES,"Bonaire, Sint Eustatius and Saba",Other,Other,0
BFA,Burkina Faso,Other,Africa,1
BGD,Bangladesh,Other,Asia,0
BGR,Bulgaria,EU,Europe,0
BHR,Bahrain,GCC,Asia,0
BHS,Bahamas,Other,North America,0
BIH,Bosnia and Herzegovina,Other,Europe,1
BLM,Saint Barthélemy,Other,Other,0
BLR,Belarus,Other,Europe,1
BLZ,Belize,Other,North America,0
BMU,Bermuda,Other,North America,0
BOL,"Bolivia, Plurinational State of",Other,South America,0
BRA,Brazil,BRICS,South America,0
BRB,Barbados,Other,North America,0
BRN,Brunei Darussalam,Other,Asia,0
BTN,Bhutan,Other,Asia,0
BVT,Bouvet Island,Other,Other,0
BWA,Botswana,Other,Africa,0
CAF,Central African Republic,Other,Africa,1
CAN,Canada,FiveEyes,North America,0
CCK,Cocos (Keeling) Islands,Other,Other,0
CHE,Switzerland,Other,Europe,0
CHL,Chile,Other,South America,0
CHN,China,BRICS,Asia,1
CIV,Côte d'Ivoire,Other,Africa,0
CMR,Cameroon,Other,Africa,0
COD,"Congo, The Democratic Republic of the",Other,Other,1
COG,Congo,Other,Africa,0
COK,Cook Islands,Other,Oceania,0
COL,Colombia,Other,South America,0
COM,Comoros,Other,Africa,0
CPV,Cabo Verde,Other,Africa,0
CRI,Costa Rica,Other,North America,0
CUB,Cuba,Other,North America,0
CUW,Curaçao,Other,North America,0
CXR,Christmas Island,Other,Other,0
CYM,Cayman Islands,Other,North America,0
CYP,Cyprus,EU,Asia,0
CZE,Czechia,EU,Europe,0
DEU,Germany,EU,Europe,0
DJI,Djibouti,Other,Africa,0
DMA,Dominica,Other,North America,0
DNK,Denmark,EU,Europe,0
DOM,Dominican Republic,Other,North America,0
DZA,Algeria,Other,Africa,0
ECU,Ecuador,Other,South America,0
EGY,Egypt,Other,Africa,0
ERI,Eritrea,Other,Africa,1
ESH,Western Sahara,Other,Africa,0
ESP,Spain,EU,Europe,0
EST,Estonia,EU,Europe,0
ETH,Ethiopia,Other,Africa,0
FIN,Finland,EU,Europe,0
FJI,Fiji,Other,Oceania,0
FLK,Falkland Islands (Malvinas),Other,South America,0
FRA,France,EU,Europe,0
FRO,Faroe Islands,Other,Europe,0
FSM,"Micronesia, Federated States of",Other,Oceania,0
GAB,Gabon,Other,Africa,0
GBR,United Kingdom,FiveEyes,Europe,0
GEO,Georgia,Other,Asia,0
GGY,Guernsey,Other,Other,0
GHA,Ghana,Other,Africa,0
GIB,Gibraltar,Other,Europe,0
GIN,Guinea,Other,Africa,0
GLP,Guadeloupe,Other,North America,0
GMB,Gambia,Other,Africa,0
GNB,Guinea-Bissau,Other,Africa,0
GNQ,Equatorial Guinea,Other,Africa,0
GRC,Greece,EU,Europe,0
GRD,Grenada,Other,North America,0
GRL,Greenland,Other,North America,0
GTM,Guatemala,Other,North America,0
GUF,French Guiana,Other,South America,0
GUM,Guam,Other,Oceania,0
GUY,Guyana,Other,South America,0
HKG,Hong Kong,Other,Asia,0
HMD,Heard Island and McDonald Islands,Other,Other,0
HND,Honduras,Other,North America,0
HRV,Croatia,EU,Europe,0
HTI,Haiti,Other,North America,1
HUN,Hungary,EU,Europe,0
IDN,Indonesia,Other,Asia,0
IMN,Isle of Man,Other,Other,0
IND,India,BRICS,Asia,0
IOT,British Indian Ocean Territory,Other,Other,0
IRL,Ireland,EU,Europe,0
IRN,"Iran, Islamic Republic of",Other,Asia,1
IRQ,Iraq,Other,Asia,1
ISL,Iceland,Other,Europe,0
ISR,Israel,Other,Asia,0
ITA,Italy,EU,Europe,0
JAM,Jamaica,Other,North America,0
JEY,Jersey,Other,Other,0
JOR,Jordan,Other,Asia,0
JPN,Japan,Other,Asia,0
KAZ,Kazakhstan,Other,Asia,0
KEN,Kenya,Other,Africa,0
KGZ,Kyrgyzstan,Other,Asia,0
KHM,Cambodia,Other,Asia,0
KIR,Kiribati,Other,Oceania,0
KNA,Saint Kitts and Nevis,Other,North America,0
KOR,"Korea, Republic of",Other,Asia,0
KWT,Kuwait,GCC,Asia,0
LAO,Lao People's Democratic Republic,Other,Asia,0
LBN,Lebanon,Other,Asia,1
LBR,Liberia,Other,Africa,1
