run_id,iso3,country,bloc,region,embargo,frame_id,condition,prompt_body
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F1,country,a research project based in the United Kingdom collaborating with researchers in Aruba.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F1,unspecified,a research project based in the United Kingdom collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F1,paraphrase,a research project based in the United Kingdom collaborating with a Aruba-based institution.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F1,proxy,"a research project based in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F2,country,a UK-based research project collaborating with researchers in Aruba.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F2,unspecified,a UK-based research project collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F2,paraphrase,a UK-based research project collaborating with a Aruba-based institution.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F2,proxy,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F3,country,research activity located in the United Kingdom collaborating with researchers in Aruba.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F3,unspecified,research activity located in the United Kingdom collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F3,paraphrase,research activity located in the United Kingdom collaborating with a Aruba-based institution.
E4_FULL_manifest_20251109,ABW,Aruba,Other,Other,0,F3,proxy,"research activity located in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F1,country,a research project based in the United Kingdom collaborating with researchers in Afghanistan.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F1,unspecified,a research project based in the United Kingdom collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F1,paraphrase,a research project based in the United Kingdom collaborating with a Afghanistan-based institution.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F1,proxy,"a research project based in the United Kingdom collaborating with a partner from the Other bloc, which is embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F2,country,a UK-based research project collaborating with researchers in Afghanistan.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F2,unspecified,a UK-based research project collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F2,paraphrase,a UK-based research project collaborating with a Afghanistan-based institution.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F2,proxy,"a UK-based research project collaborating with a partner from the Other bloc, which is embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F3,country,research activity located in the United Kingdom collaborating with researchers in Afghanistan.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F3,unspecified,research activity located in the United Kingdom collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F3,paraphrase,research activity located in the United Kingdom collaborating with a Afghanistan-based institution.
E4_FULL_manifest_20251109,AFG,Afghanistan,Other,Asia,1,F3,proxy,"research activity located in the United Kingdom collaborating with a partner from the Other bloc, which is embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F1,country,a research project based in the United Kingdom collaborating with researchers in Angola.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F1,unspecified,a research project based in the United Kingdom collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F1,paraphrase,a research project based in the United Kingdom collaborating with a Angola-based institution.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F1,proxy,"a research project based in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F2,country,a UK-based research project collaborating with researchers in Angola.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F2,unspecified,a UK-based research project collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F2,paraphrase,a UK-based research project collaborating with a Angola-based institution.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F2,proxy,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F3,country,research activity located in the United Kingdom collaborating with researchers in Angola.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F3,unspecified,research activity located in the United Kingdom collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F3,paraphrase,research activity located in the United Kingdom collaborating with a Angola-based institution.
E4_FULL_manifest_20251109,AGO,Angola,Other,Africa,0,F3,proxy,"research activity located in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F1,country,a research project based in the United Kingdom collaborating with researchers in Anguilla.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F1,unspecified,a research project based in the United Kingdom collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F1,paraphrase,a research project based in the United Kingdom collaborating with a Anguilla-based institution.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F1,proxy,"a research project based in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F2,country,a UK-based research project collaborating with researchers in Anguilla.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F2,unspecified,a UK-based research project collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F2,paraphrase,a UK-based research project collaborating with a Anguilla-based institution.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F2,proxy,"a UK-based research project collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F3,country,research activity located in the United Kingdom collaborating with researchers in Anguilla.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F3,unspecified,research activity located in the United Kingdom collaborating with an unspecified foreign institution.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F3,paraphrase,research activity located in the United Kingdom collaborating with a Anguilla-based institution.
E4_FULL_manifest_20251109,AIA,Anguilla,Other,North America,0,F3,proxy,"research activity located in the United Kingdom collaborating with a partner from the Other bloc, which is not embargoed by the United Kingdom."
E4_FULL_manifest_20251109,ALA,Åland Islands,Other,Other,0,F1,country,a research project based in the United Kingdom collaborating with researchers in Åland Islands.
