model_key,bloc,delta_country_vs_unspecified,delta_country_vs_paraphrase,delta_country_vs_proxy
chatgpt-4o,BRICS,0.0,0.0,0.0
chatgpt-4o,EU,-0.08641975308641976,-0.08641975308641976,-0.08641975308641976
chatgpt-4o,FiveEyes,-0.2,0.0,-0.2
chatgpt-4o,GCC,0.0,0.0,0.0
chatgpt-4o,Other,-0.08576051779935276,-0.043689320388349516,-0.08576051779935276
claude-sonnet-4,BRICS,-0.2666666666666667,-0.2,0.4666666666666667
claude-sonnet-4,EU,-1.0,0.0,0.0
claude-sonnet-4,FiveEyes,-0.8666666666666666,-0.06666666666666668,0.13333333333333333
claude-sonnet-4,GCC,-0.11111111111111112,-0.11111111111111112,0.22222222222222224
claude-sonnet-4,Other,-0.6294498381877022,-0.22006472491909387,-0.34627831715210355
gemini2.5,BRICS,0.0,0.0,0.0
gemini2.5,EU,0.0,0.0,0.0
gemini2.5,FiveEyes,-0.13333333333333336,-0.13333333333333336,-0.13333333333333336
gemini2.5,GCC,0.0,0.0,0.0
gemini2.5,Other,-0.03236245954692557,-0.011326860841423949,-0.03236245954692557
llama3.3,BRICS,0.0,0.0,0.0
llama3.3,EU,-0.5802469135802469,0.012345679012345677,0.4197530864197531
llama3.3,FiveEyes,-0.4666666666666667,0.3333333333333333,0.5333333333333333
llama3.3,GCC,0.0,0.0,0.3333333333333333
llama3.3,Other,-0.3171521035598705,-0.10194174757281553,-0.01779935275080903
qwen2.5,BRICS,0.0,0.0,0.0
qwen2.5,EU,-0.3333333333333333,-0.23456790123456792,-0.3333333333333333
qwen2.5,FiveEyes,-0.2666666666666667,-0.06666666666666668,-0.2
qwen2.5,GCC,0.0,0.0,0.0
qwen2.5,Other,-0.03074433656957929,-0.025889967637540454,-0.03074433656957929
