model_key,iso3,country_label,bloc,region,embargo,country,paraphrase,proxy,unspecified,delta_country_vs_unspecified,delta_country_vs_paraphrase,delta_country_vs_proxy,p_country_vs_unspecified,p_country_vs_paraphrase,p_country_vs_proxy,FDR_p_country_vs_unspecified,Sig_p_country_vs_unspecified,FDR_p_country_vs_paraphrase,Sig_p_country_vs_paraphrase,FDR_p_country_vs_proxy,Sig_p_country_vs_proxy
chatgpt-4o,ABW,Aruba,Other,Other,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,AFG,Afghanistan,Other,Asia,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,AGO,Angola,Other,Africa,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,AIA,Anguilla,Other,North America,0,0.6666666666666666,0.3333333333333333,1.0,1.0,-0.33333333333333337,0.3333333333333333,-0.33333333333333337,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,ALA,Åland Islands,Other,Other,0,0.0,0.6666666666666666,1.0,1.0,-1.0,-0.6666666666666666,-1.0,0.24821307898992026,0.47950012218695337,0.24821307898992026,1.0,False,1.0,False,1.0,False
chatgpt-4o,ALB,Albania,Other,Europe,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,AND,Andorra,Other,Europe,0,0.3333333333333333,1.0,1.0,1.0,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,0.47950012218695337,0.47950012218695337,0.47950012218695337,1.0,False,1.0,False,1.0,False
chatgpt-4o,ARE,United Arab Emirates,GCC,Asia,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,ARG,Argentina,Other,South America,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,ARM,Armenia,Other,Asia,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,ASM,American Samoa,Other,Oceania,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,ATA,Antarctica,Other,Other,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,ATF,French Southern Territories,Other,Other,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,ATG,Antigua and Barbuda,Other,North America,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,AUS,Australia,FiveEyes,Oceania,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,AUT,Austria,EU,Europe,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
chatgpt-4o,AZE,Azerbaijan,Other,Asia,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,1.0,False,1.0,False
