Experiment,Model,TopN,Mean YES rate (TopN),Embargoed in TopN,Share embargoed
Experiment 1,chatgpt-4o,30,0.847,20,0.667
Experiment 1,claude-sonnet-4,30,0.911,24,0.8
Experiment 1,gemini2.5,30,1.0,13,0.433
Experiment 1,llama3.3,30,0.582,19,0.633
Experiment 1,qwen2.5,30,0.742,11,0.367
Experiment 2,chatgpt-4o,30,0.549,16,0.533
Experiment 2,claude-sonnet-4,30,0.967,19,0.633
Experiment 2,gemini2.5,30,0.967,17,0.567
Experiment 2,llama3.3,30,0.762,16,0.533
Experiment 2,qwen2.5,30,0.447,12,0.4
Experiment 3,chatgpt-4o,30,0.833,18,0.6
Experiment 3,claude-sonnet-4,30,0.5,15,0.5
Experiment 3,gemini2.5,30,1.0,15,0.5
Experiment 3,llama3.3,30,0.733,18,0.6
Experiment 3,qwen2.5,30,0.233,13,0.433
