model_key,iso3,country_name,bloc,yes_rate,ci_low,ci_high,uk_embargo_flag
gemini2.5,COG,Congo,Other,1.0,0.7961107336956521,1.0,0
gemini2.5,BLR,Belarus,Other,1.0,0.7961107336956521,1.0,1
gemini2.5,CUB,Cuba,Other,1.0,0.7961107336956521,1.0,0
gemini2.5,KGZ,Kyrgyzstan,Other,1.0,0.7961107336956521,1.0,0
gemini2.5,GNB,Guinea-Bissau,Other,1.0,0.7961107336956521,1.0,0
gemini2.5,ERI,Eritrea,Other,1.0,0.7961107336956521,1.0,1
gemini2.5,PSE,"Palestine, State of",Other,1.0,0.7961107336956521,1.0,0
gemini2.5,MMR,Myanmar,Other,1.0,0.7961107336956521,1.0,1
gemini2.5,MLI,Mali,Other,1.0,0.7961107336956521,1.0,1
gemini2.5,LBY,Libya,Other,1.0,0.7961107336956521,1.0,1
gemini2.5,SRB,Serbia,Other,1.0,0.7961107336956521,1.0,1
gemini2.5,SSD,South Sudan,Other,1.0,0.7961107336956521,1.0,1
gemini2.5,YEM,Yemen,Other,1.0,0.7961107336956521,1.0,1
gemini2.5,PAK,Pakistan,Other,1.0,0.7961107336956521,1.0,0
gemini2.5,TJK,Tajikistan,Other,1.0,0.7961107336956521,1.0,0
gemini2.5,EGY,Egypt,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
gemini2.5,ARM,Armenia,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
gemini2.5,AZE,Azerbaijan,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
gemini2.5,DJI,Djibouti,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
gemini2.5,IRQ,Iraq,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
gemini2.5,DZA,Algeria,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
gemini2.5,GNQ,Equatorial Guinea,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
gemini2.5,CAF,Central African Republic,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
gemini2.5,BFA,Burkina Faso,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
gemini2.5,COD,"Congo, The Democratic Republic of the",Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
gemini2.5,CHN,China,BRICS,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
gemini2.5,TKM,Turkmenistan,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
gemini2.5,LBN,Lebanon,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
gemini2.5,NIC,Nicaragua,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,0
gemini2.5,SDN,Sudan,Other,0.9333333333333332,0.7018292244757601,0.9881334113938052,1
