model_key,iso3,country_name,bloc,yes_rate,ci_low,ci_high,uk_embargo_flag
qwen2.5,TJK,Tajikistan,Other,0.8666666666666667,0.6946360061780545,1.0,0
qwen2.5,IRN,"Iran, Islamic Republic of",Other,0.8,0.5975720704382257,1.0,1
qwen2.5,BLR,Belarus,Other,0.8,0.5975720704382257,1.0,1
qwen2.5,UZB,Uzbekistan,Other,0.8,0.5975720704382257,1.0,0
qwen2.5,IRN,"Iran, Islamic Republic of",Other,0.8,0.5975720704382257,1.0,1
qwen2.5,CUB,Cuba,Other,0.8,0.5975720704382257,1.0,0
qwen2.5,RUS,Russian Federation,BRICS,0.8,0.5975720704382257,1.0,1
qwen2.5,SAU,Saudi Arabia,GCC,0.8,0.5975720704382257,1.0,0
qwen2.5,UZB,Uzbekistan,Other,0.8,0.5975720704382257,1.0,0
qwen2.5,TJK,Tajikistan,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,TWN,"Taiwan, Province of China",Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,SYR,Syrian Arab Republic,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,1
qwen2.5,KAZ,Kazakhstan,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,SYR,Syrian Arab Republic,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,1
qwen2.5,CHN,China,BRICS,0.7333333333333333,0.5095408368517008,0.9571258298149656,1
qwen2.5,KWT,Kuwait,GCC,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,ISR,Israel,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,HKG,Hong Kong,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,SDN,Sudan,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,1
qwen2.5,PAK,Pakistan,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,RUS,Russian Federation,BRICS,0.7333333333333333,0.5095408368517008,0.9571258298149656,1
qwen2.5,LAO,Lao People's Democratic Republic,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,IRQ,Iraq,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,1
qwen2.5,CUB,Cuba,Other,0.7333333333333333,0.5095408368517008,0.9571258298149656,0
qwen2.5,PYF,French Polynesia,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,IOT,British Indian Ocean Territory,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,CYM,Cayman Islands,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,IOT,British Indian Ocean Territory,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,COD,"Congo, The Democratic Republic of the",Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
qwen2.5,CCK,Cocos (Keeling) Islands,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,CHN,China,BRICS,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
qwen2.5,FSM,"Micronesia, Federated States of",Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,AZE,Azerbaijan,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
qwen2.5,IRQ,Iraq,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
qwen2.5,LAO,Lao People's Democratic Republic,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,KGZ,Kyrgyzstan,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,MCO,Monaco,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,MYS,Malaysia,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,NGA,Nigeria,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,LBY,Libya,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
qwen2.5,GNQ,Equatorial Guinea,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,BRN,Brunei Darussalam,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,AZE,Azerbaijan,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
qwen2.5,BLR,Belarus,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
qwen2.5,CUW,Curaçao,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,VNM,Viet Nam,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,SAU,Saudi Arabia,GCC,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,PRK,"Korea, Democratic People's Republic of",Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,1
qwen2.5,THA,Thailand,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
qwen2.5,TCA,Turks and Caicos Islands,Other,0.6666666666666666,0.4281030638421943,0.9052302694911388,0
